"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;17405,6694636994
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;21376,9103786434
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;13169,1426929392
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;13830,4380520411
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;14848,0082159624
2016;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;22747,85847997
2016;"Renda neta mitjana per persona.";"2. l'Eixample";"2.1. Russafa";2;1;21;13951,4608249626
2016;"Renda neta mitjana per persona.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;25964,7866608417
2016;"Renda neta mitjana per persona.";"2. l'Eixample";"2.3. Gran Via";2;3;23;19343,1546799725
2016;"Renda neta mitjana per persona.";"3. Extramurs";"3.1. el Botànic";3;1;31;14495,9502544738
2016;"Renda neta mitjana per persona.";"3. Extramurs";"3.2. la Roqueta";3;2;32;15183,3998612396
2016;"Renda neta mitjana per persona.";"3. Extramurs";"3.3. la Petxina";3;3;33;14062,0410186757
2016;"Renda neta mitjana per persona.";"3. Extramurs";"3.4. Arrancapins";3;4;34;15397,0482537388
2016;"Renda neta mitjana per persona.";"4. Campanar";"4.1. Campanar";4;1;41;13875,830094099
2016;"Renda neta mitjana per persona.";"4. Campanar";"4.2. les Tendetes";4;2;42;11690,3295101089
2016;"Renda neta mitjana per persona.";"4. Campanar";"4.3. el Calvari";4;3;43;8942,73144341052
2016;"Renda neta mitjana per persona.";"4. Campanar";"4.4. Sant Pau";4;4;44;15498,1938980078
2016;"Renda neta mitjana per persona.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;10556,8421304265
2016;"Renda neta mitjana per persona.";"5. la Saïdia";"5.2. Morvedre";5;2;52;11458,0455203807
2016;"Renda neta mitjana per persona.";"5. la Saïdia";"5.3. Trinitat";5;3;53;12544,4778898371
2016;"Renda neta mitjana per persona.";"5. la Saïdia";"5.4. Tormos";5;4;54;9633,80125045088
2016;"Renda neta mitjana per persona.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;12158,2022151899
2016;"Renda neta mitjana per persona.";"6. el Pla del Real";"6.1. Exposició";6;1;61;20764,6296409942
