"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;44825,4652752789
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;61104,8602863203
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;32013,3293061225
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;32603,6653110048
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;35769,1909791607
2020;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;53540,8524799416
2020;"Renda neta mitjana per llar.";"2. l'Eixample";"2.1. Russafa";2;1;21;37127,353092232
2020;"Renda neta mitjana per llar.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;77837,1151172893
2020;"Renda neta mitjana per llar.";"2. l'Eixample";"2.3. Gran Via";2;3;23;54199,310626703
2020;"Renda neta mitjana per llar.";"3. Extramurs";"3.1. el Botànic";3;1;31;36413,6999512908
2020;"Renda neta mitjana per llar.";"3. Extramurs";"3.2. la Roqueta";3;2;32;35802,4057709648
2020;"Renda neta mitjana per llar.";"3. Extramurs";"3.3. la Petxina";3;3;33;40303,2134923339
2020;"Renda neta mitjana per llar.";"3. Extramurs";"3.4. Arrancapins";3;4;34;41297,7093689386
2020;"Renda neta mitjana per llar.";"4. Campanar";"4.1. Campanar";4;1;41;38726,6172587933
2020;"Renda neta mitjana per llar.";"4. Campanar";"4.2. les Tendetes";4;2;42;30883,2021751796
2020;"Renda neta mitjana per llar.";"4. Campanar";"4.3. el Calvari";4;3;43;23489,9244808055
2020;"Renda neta mitjana per llar.";"4. Campanar";"4.4. Sant Pau";4;4;44;47241,8788816109
2020;"Renda neta mitjana per llar.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;29384,9687322879
2020;"Renda neta mitjana per llar.";"5. la Saïdia";"5.2. Morvedre";5;2;52;31781,7728273404
2020;"Renda neta mitjana per llar.";"5. la Saïdia";"5.3. Trinitat";5;3;53;32708,8745904862
2020;"Renda neta mitjana per llar.";"5. la Saïdia";"5.4. Tormos";5;4;54;28709,2797597598
2020;"Renda neta mitjana per llar.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;35168,1739592184
2020;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.1. Exposició";6;1;61;62113,1819972723
2020;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;45753,3893431264
2020;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;61852,6642879797
2020;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;49383,5545851528
2020;"Renda neta mitjana per llar.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;29328,6935213028
2020;"Renda neta mitjana per llar.";"7. l'Olivereta";"7.2. Soternes";7;2;72;28134,2691580936
2020;"Renda neta mitjana per llar.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;23623,6929372197
2020;"Renda neta mitjana per llar.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;21765,1523642732
2020;"Renda neta mitjana per llar.";"7. l'Olivereta";"7.5. la Llum";7;5;75;32618,8691206544
2020;"Renda neta mitjana per llar.";"8. Patraix";"8.1. Patraix";8;1;81;33429,3678924214
2020;"Renda neta mitjana per llar.";"8. Patraix";"8.2. Sant Isidre";8;2;82;31602,3673700463
2020;"Renda neta mitjana per llar.";"8. Patraix";"8.3. Vara de Quart";8;3;83;33241,5471345719
2020;"Renda neta mitjana per llar.";"8. Patraix";"8.4. Safranar";8;4;84;35591,7700534759
2020;"Renda neta mitjana per llar.";"8. Patraix";"8.5. Favara";8;5;85;30548,4682605111
2020;"Renda neta mitjana per llar.";"9. Jesús";"9.1. la Raiosa";9;1;91;30057,904771385
2020;"Renda neta mitjana per llar.";"9. Jesús";"9.2. l'Hort de Senabre";9;2;92;29833,7670656162
2020;"Renda neta mitjana per llar.";"9. Jesús";"9.3. la Creu Coberta";9;3;93;31632,644096345
2020;"Renda neta mitjana per llar.";"9. Jesús";"9.4. Sant Marcel·lí";9;4;94;27111,2751269036
2020;"Renda neta mitjana per llar.";"9. Jesús";"9.5. Camí Real";9;5;95;27593,1382950647
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.1. Mont-Olivet";10;1;101;29789,9504061565
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.2. en Corts";10;2;102;28237,6338112306
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.3. Malilla";10;3;103;31936,7747838419
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.4. Fonteta de Sant Lluís";10;4;104;25483,5625
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.5. na Rovella";10;5;105;23427,6563172043
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.6. la Punta";10;6;106;29518,0710238005
2020;"Renda neta mitjana per llar.";"10. Quatre Carreres";"10.7. Ciutat de les Arts i de les Ciències";10;7;107;46412,0963044374
2020;"Renda neta mitjana per llar.";"11. Poblats Marítims";"11.1. el Grau";11;1;111;30318,8298940932
2020;"Renda neta mitjana per llar.";"11. Poblats Marítims";"11.2. el Cabanyal-el Canyamelar";11;2;112;27770,5059101655
2020;"Renda neta mitjana per llar.";"11. Poblats Marítims";"11.3. la Malva-rosa";11;3;113;27973,8283873021
2020;"Renda neta mitjana per llar.";"11. Poblats Marítims";"11.4. Beteró";11;4;114;34178,5346114256
2020;"Renda neta mitjana per llar.";"11. Poblats Marítims";"11.5. Natzaret";11;5;115;24330,6191356987
2020;"Renda neta mitjana per llar.";"12. Camins al Grau";"12.1. Aiora";12;1;121;30388,3242190737
2020;"Renda neta mitjana per llar.";"12. Camins al Grau";"12.2. Albors";12;2;122;32780,2056239016
2020;"Renda neta mitjana per llar.";"12. Camins al Grau";"12.3. la Creu del Grau";12;3;123;28247,2148616711
2020;"Renda neta mitjana per llar.";"12. Camins al Grau";"12.4. Camí Fondo";12;4;124;32376,6904545455
2020;"Renda neta mitjana per llar.";"12. Camins al Grau";"12.5. Penya-roja";12;5;125;57587,8239048219
2020;"Renda neta mitjana per llar.";"13. Algirós";"13.1. l'Illa Perduda";13;1;131;32073,9881291548
2020;"Renda neta mitjana per llar.";"13. Algirós";"13.2. Ciutat Jardí";13;2;132;35987,0590527318
2020;"Renda neta mitjana per llar.";"13. Algirós";"13.3. l'Amistat";13;3;133;30632,9043350478
2020;"Renda neta mitjana per llar.";"13. Algirós";"13.4. la Bega Baixa";13;4;134;43001,25493115
2020;"Renda neta mitjana per llar.";"13. Algirós";"13.5. la Carrasca";13;5;135;45959,9438682123
2020;"Renda neta mitjana per llar.";"14. Benimaclet";"14.1. Benimaclet";14;1;141;35488,5967399947
2020;"Renda neta mitjana per llar.";"14. Benimaclet";"14.2. Camí de Vera";14;2;142;38694,8785081936
2020;"Renda neta mitjana per llar.";"15. Rascanya";"15.1. Orriols";15;1;151;23888,6603573213
2020;"Renda neta mitjana per llar.";"15. Rascanya";"15.2. Torrefiel";15;2;152;27157,566748471
2020;"Renda neta mitjana per llar.";"15. Rascanya";"15.3. Sant Llorenç";15;3;153;47740,7852348993
2020;"Renda neta mitjana per llar.";"16. Benicalap";"16.1. Benicalap";16;1;161;30617,3734370385
2020;"Renda neta mitjana per llar.";"16. Benicalap";"16.2. Ciutat Fallera";16;2;162;23955,1597149809
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.1. Benifaraig";17;1;171;30270
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.2. Poble Nou";17;2;172;28478
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.3. Carpesa";17;3;173;32990
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.4. Cases de Bàrcena";17;4;174;30270
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.5. Mauella";17;5;175;30270
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.6. Massarrojos";17;6;176;50483
2020;"Renda neta mitjana per llar.";"17. Pobles del Nord";"17.7. Borbotó";17;7;177;30928
2020;"Renda neta mitjana per llar.";"18. Pobles de l'Oest";"18.1. Benimàmet";18;1;181;27569,6300602325
2020;"Renda neta mitjana per llar.";"18. Pobles de l'Oest";"18.2. Beniferri";18;2;182;35342
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.1. el Forn d'Alcedo";19;1;191;26346
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.2. el Castellar-l'Oliverar";19;2;192;30261,8786075573
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.3. Pinedo";19;3;193;32348,8350474684
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.4. el Saler";19;4;194;38477
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.5. el Palmar";19;5;195;33414
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.6. el Perellonet";19;6;196;33569
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.7. la Torre";19;7;197;24328,3634053367
2020;"Renda neta mitjana per llar.";"19. Pobles del Sud";"19.8. Faitanar";19;8;198;23454
2020;"Renda neta mitjana per llar.";;;;;;
