"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;19828,7880532566
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;24633,2643160127
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;15068,9928163265
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;15535,6023923445
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;16446,9289180702
2020;"Renda neta mitjana per persona.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;22614,2647702407
2020;"Renda neta mitjana per persona.";"2. l'Eixample";"2.1. Russafa";2;1;21;16289,4174192168
2020;"Renda neta mitjana per persona.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;29280,4662612221
2020;"Renda neta mitjana per persona.";"2. l'Eixample";"2.3. Gran Via";2;3;23;21552,1191246594
2020;"Renda neta mitjana per persona.";"3. Extramurs";"3.1. el Botànic";3;1;31;16243,685663257
2020;"Renda neta mitjana per persona.";"3. Extramurs";"3.2. la Roqueta";3;2;32;16054,7768259693
2020;"Renda neta mitjana per persona.";"3. Extramurs";"3.3. la Petxina";3;3;33;16508,3603407155
2020;"Renda neta mitjana per persona.";"3. Extramurs";"3.4. Arrancapins";3;4;34;17276,0756912806
2020;"Renda neta mitjana per persona.";"4. Campanar";"4.1. Campanar";4;1;41;15492,3199255781
2020;"Renda neta mitjana per persona.";"4. Campanar";"4.2. les Tendetes";4;2;42;13108,7572344145
2020;"Renda neta mitjana per persona.";"4. Campanar";"4.3. el Calvari";4;3;43;10044,0929305643
2020;"Renda neta mitjana per persona.";"4. Campanar";"4.4. Sant Pau";4;4;44;16964,8791242115
2020;"Renda neta mitjana per persona.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;12082,8372378613
2020;"Renda neta mitjana per persona.";"5. la Saïdia";"5.2. Morvedre";5;2;52;13511,8675961841
2020;"Renda neta mitjana per persona.";"5. la Saïdia";"5.3. Trinitat";5;3;53;14210,152666754
2020;"Renda neta mitjana per persona.";"5. la Saïdia";"5.4. Tormos";5;4;54;11390,9163963964
2020;"Renda neta mitjana per persona.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;14035,318606627
2020;"Renda neta mitjana per persona.";"6. el Pla del Real";"6.1. Exposició";6;1;61;23276,3311107744
2020;"Renda neta mitjana per persona.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;18203,871881929
2020;"Renda neta mitjana per persona.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;22332,047256581
2020;"Renda neta mitjana per persona.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;18448,7467248908
2020;"Renda neta mitjana per persona.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;12148,5027141016
2020;"Renda neta mitjana per persona.";"7. l'Olivereta";"7.2. Soternes";7;2;72;11705,9964308209
2020;"Renda neta mitjana per persona.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;9563,05011210762
2020;"Renda neta mitjana per persona.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;8104,87098657326
2020;"Renda neta mitjana per persona.";"7. l'Olivereta";"7.5. la Llum";7;5;75;12910,608997955
2020;"Renda neta mitjana per persona.";"8. Patraix";"8.1. Patraix";8;1;81;13778,0913505437
2020;"Renda neta mitjana per persona.";"8. Patraix";"8.2. Sant Isidre";8;2;82;12091,6429233145
2020;"Renda neta mitjana per persona.";"8. Patraix";"8.3. Vara de Quart";8;3;83;13423,7824633835
2020;"Renda neta mitjana per persona.";"8. Patraix";"8.4. Safranar";8;4;84;13841,66
2020;"Renda neta mitjana per persona.";"8. Patraix";"8.5. Favara";8;5;85;12058,1772464963
2020;"Renda neta mitjana per persona.";"9. Jesús";"9.1. la Raiosa";9;1;91;12427,356095295
2020;"Renda neta mitjana per persona.";"9. Jesús";"9.2. l'Hort de Senabre";9;2;92;11684,7001864437
2020;"Renda neta mitjana per persona.";"9. Jesús";"9.3. la Creu Coberta";9;3;93;12485,0567626748
2020;"Renda neta mitjana per persona.";"9. Jesús";"9.4. Sant Marcel·lí";9;4;94;11032,2736040609
2020;"Renda neta mitjana per persona.";"9. Jesús";"9.5. Camí Real";9;5;95;11061,0253365004
2020;"Renda neta mitjana per persona.";"10. Quatre Carreres";"10.1. Mont-Olivet";10;1;101;12380,8083582728
2020;"Renda neta mitjana per persona.";"10. Quatre Carreres";"10.2. en Corts";10;2;102;11422,2054958184
2020;"Renda neta mitjana per persona.";"10. Quatre Carreres";"10.3. Malilla";10;3;103;12605,9646369916
