"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;3,14595178121627
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;3,64509544008484
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;3,02551836734694
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;3,12351674641148
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;3,45478161575792
2020;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;3,60986506199854
2020;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.1. Russafa";2;1;21;3,10608602610743
2020;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;3,19965247610773
2020;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.3. Gran Via";2;3;23;2,85025544959128
2020;"Distribució de la renda P80/P20.";"3. Extramurs";"3.1. el Botànic";3;1;31;3,00826432862478
2020;"Distribució de la renda P80/P20.";"3. Extramurs";"3.2. la Roqueta";3;2;32;3,69296663660956
2020;"Distribució de la renda P80/P20.";"3. Extramurs";"3.3. la Petxina";3;3;33;2,90343441226576
2020;"Distribució de la renda P80/P20.";"3. Extramurs";"3.4. Arrancapins";3;4;34;2,93319500202986
2020;"Distribució de la renda P80/P20.";"4. Campanar";"4.1. Campanar";4;1;41;2,70018605475326
2020;"Distribució de la renda P80/P20.";"4. Campanar";"4.2. les Tendetes";4;2;42;3,32532530588464
2020;"Distribució de la renda P80/P20.";"4. Campanar";"4.3. el Calvari";4;3;43;2,88835745752045
2020;"Distribució de la renda P80/P20.";"4. Campanar";"4.4. Sant Pau";4;4;44;2,54254609412906
2020;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;2,7824768562252
2020;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.2. Morvedre";5;2;52;2,91950938253486
2020;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.3. Trinitat";5;3;53;2,98060542523916
2020;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.4. Tormos";5;4;54;2,74682282282282
2020;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;2,71236193712829
2020;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.1. Exposició";6;1;61;2,6913623276254
2020;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;2,93667544345898
2020;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;2,7709324452902
