"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2016;"Índex de Gini.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;38,9294418095586
2016;"Índex de Gini.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;43,4880414056115
2016;"Índex de Gini.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;36,4639408866995
2016;"Índex de Gini.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;38,830842683218
2016;"Índex de Gini.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;39,0114143192488
2016;"Índex de Gini.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;41,3994571321602
2016;"Índex de Gini.";"2. l'Eixample";"2.1. Russafa";2;1;21;36,0174353494336
2016;"Índex de Gini.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;41,2548419979613
2016;"Índex de Gini.";"2. l'Eixample";"2.3. Gran Via";2;3;23;35,3272969717825
2016;"Índex de Gini.";"3. Extramurs";"3.1. el Botànic";3;1;31;37,0306517813167
2016;"Índex de Gini.";"3. Extramurs";"3.2. la Roqueta";3;2;32;41,1002081406105
2016;"Índex de Gini.";"3. Extramurs";"3.3. la Petxina";3;3;33;35,0156400679117
2016;"Índex de Gini.";"3. Extramurs";"3.4. Arrancapins";3;4;34;35,0423620837663
2016;"Índex de Gini.";"4. Campanar";"4.1. Campanar";4;1;41;32,54755078709
2016;"Índex de Gini.";"4. Campanar";"4.2. les Tendetes";4;2;42;37,0089424572317
2016;"Índex de Gini.";"4. Campanar";"4.3. el Calvari";4;3;43;36,8231551612205
2016;"Índex de Gini.";"4. Campanar";"4.4. Sant Pau";4;4;44;32,5241636386418
2016;"Índex de Gini.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;34,6036431440046
2016;"Índex de Gini.";"5. la Saïdia";"5.2. Morvedre";5;2;52;35,0844299606869
2016;"Índex de Gini.";"5. la Saïdia";"5.3. Trinitat";5;3;53;34,7350271528317
