"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;3,2463055954089
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;3,66527339642482
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;2,99816838046273
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;3,19232209737828
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;3,4520022720818
2019;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;3,86788126555279
2019;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.1. Russafa";2;1;21;3,08814657911459
2019;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;3,125899486008
2019;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.3. Gran Via";2;3;23;2,77738617200675
2019;"Distribució de la renda P80/P20.";"3. Extramurs";"3.1. el Botànic";3;1;31;2,98215493638267
2019;"Distribució de la renda P80/P20.";"3. Extramurs";"3.2. la Roqueta";3;2;32;3,52148666967917
2019;"Distribució de la renda P80/P20.";"3. Extramurs";"3.3. la Petxina";3;3;33;2,88247581945191
2019;"Distribució de la renda P80/P20.";"3. Extramurs";"3.4. Arrancapins";3;4;34;2,99250675765498
2019;"Distribució de la renda P80/P20.";"4. Campanar";"4.1. Campanar";4;1;41;2,62057227861393
2019;"Distribució de la renda P80/P20.";"4. Campanar";"4.2. les Tendetes";4;2;42;3,34518335550066
2019;"Distribució de la renda P80/P20.";"4. Campanar";"4.3. el Calvari";4;3;43;3,0863479145473
2019;"Distribució de la renda P80/P20.";"4. Campanar";"4.4. Sant Pau";4;4;44;2,57503597985128
2019;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;2,94160414930073
2019;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.2. Morvedre";5;2;52;2,93416451112261
2019;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.3. Trinitat";5;3;53;2,87920246185408
2019;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.4. Tormos";5;4;54;2,83199814234297
2019;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;2,67009170487703
2019;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.1. Exposició";6;1;61;2,7456704750451
2019;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;3,06250851150756
2019;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;2,82216300940439
2019;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;2,5440044411547
2019;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;2,85400076716532
2019;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.2. Soternes";7;2;72;2,5715601965602
2019;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;2,78165804249697
2019;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;3,20685322672758
2019;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.5. la Llum";7;5;75;2,45022097227802
2019;"Distribució de la renda P80/P20.";"8. Patraix";"8.1. Patraix";8;1;81;2,80003254943445
2019;"Distribució de la renda P80/P20.";"8. Patraix";"8.2. Sant Isidre";8;2;82;2,355871308231
2019;"Distribució de la renda P80/P20.";"8. Patraix";"8.3. Vara de Quart";8;3;83;2,47356122054847
2019;"Distribució de la renda P80/P20.";"8. Patraix";"8.4. Safranar";8;4;84;2,45279039584685
2019;"Distribució de la renda P80/P20.";"8. Patraix";"8.5. Favara";8;5;85;2,84844177145981
