id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef067945,https://www.airbnb.es/rooms/15653675,-0.38344498669155824,39.47311221864605,2017-08-15 17:07:38.646000,2018-09-22 07:04:53.941000,airbnb33118074,entire_home,4,6,85,2,
airbnb599232358a46554f807aef067946,https://www.airbnb.es/rooms/27059085,-0.38351786061553744,39.473179222261535,2018-08-27 05:34:15.508000,2018-09-22 07:09:25.431000,airbnb80869460,entire_home,2,3,5,2,
airbnb599232358a46554f807aef067947,https://www.airbnb.es/rooms/4571583,-0.383165100477166,39.47313066614305,2017-08-15 17:08:00.843000,2018-09-22 07:06:49.222000,airbnb2711989,entire_home,4,8,17,1,
airbnb599232358a46554f807aef067948,https://www.airbnb.es/rooms/19658458,-0.3828440662212567,39.473140859128755,2017-08-15 17:07:43.345000,2018-09-22 07:09:49.481000,airbnb29978765,entire_home,2,4,52,4,
airbnb599232358a46554f807aef067949,https://www.airbnb.es/rooms/533956,-0.3829378784877168,39.473314076592196,2017-08-15 17:07:38.647000,2018-09-22 07:06:00.268000,airbnb2624868,entire_home,2,3,98,2,
airbnb599232358a46554f807aef067950,https://www.airbnb.es/rooms/23662301,-0.38288019298140386,39.47339650910155,2018-04-24 14:12:07.744000,2018-09-22 06:31:06.266000,airbnb121643082,entire_home,0,6,0,1,
airbnb599232358a46554f807aef067951,https://www.airbnb.es/rooms/11411541,-0.3823729804421482,39.47302803271164,2018-04-24 12:06:01.544000,2018-06-02 22:54:06.956000,airbnb12524685,entire_home,2,4,65,3,108
airbnb599232358a46554f807aef067952,https://www.airbnb.es/rooms/23822118,-0.3819243605364935,39.47303274349708,2018-04-24 12:06:01.544000,2018-06-02 22:54:00.625000,airbnb178807511,entire_home,3,5,3,2,180
airbnb599232358a46554f807aef067953,https://www.airbnb.es/rooms/19098492,-0.3818987455445578,39.473092148749394,2018-04-24 12:06:05.932000,2018-04-30 18:12:18.518000,airbnb49854982,entire_home,2,2,6,2,50
airbnb599232358a46554f807aef067954,https://www.airbnb.es/rooms/18622893,-0.3819547227424354,39.47349404090862,2018-04-24 12:06:01.544000,2018-04-30 18:10:49.026000,airbnb129372524,entire_home,3,3,10,5,69
airbnb599232358a46554f807aef067955,https://www.airbnb.es/rooms/14907730,-0.3823286821234108,39.4734030182807,2018-04-24 12:06:03.893000,2018-06-02 22:55:25.678000,airbnb21500764,entire_home,3,6,56,2,108
airbnb599232358a46554f807aef067956,https://www.airbnb.es/rooms/22979063,-0.3822641568429112,39.47373452337264,2018-04-24 12:06:01.544000,2018-06-02 22:54:28.046000,airbnb170360516,entire_home,2,4,1,4,112
airbnb599232358a46554f807aef067957,https://www.airbnb.es/rooms/15608377,-0.3821092833613866,39.473976852919535,2018-04-24 12:06:03.893000,2018-06-02 22:55:12.681000,airbnb68080927,private_room,0,2,0,5,35
airbnb599232358a46554f807aef067958,https://www.airbnb.es/rooms/19449403,-0.3820463619532601,39.473997970645215,2018-04-24 14:11:38.547000,2018-06-02 22:52:11.485000,airbnb39554415,entire_home,2,2,12,3,60
airbnb599232358a46554f807aef067959,https://www.airbnb.es/rooms/23803727,-0.3819631921185261,39.4739931762597,2018-04-24 14:11:38.547000,2018-06-02 22:52:53.829000,airbnb2360917,entire_home,3,5,8,2,60
airbnb599232358a46554f807aef067960,https://www.airbnb.es/rooms/23246432,-0.3821812904820127,39.47412891176347,2018-04-24 14:10:56.578000,2018-06-02 22:52:02.137000,airbnb123391591,entire_home,2,2,9,2,47
