Actividades económicas comerciales y de servicios. 2019;;;;;;;
;;;;;;;
Distrito;Barrio;Denominación;Total;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios
1;1;1.1. la Seu;858;394;11;333;120
1;2;1.2. la Xerea;1.734;498;33;941;262
1;3;1.3. el Carme;841;395;20;274;152
1;4;1.4. el Pilar;623;214;18;232;159
1;5;1.5. el Mercat;1.496;902;12;441;141
1;6;1.6. Sant Francesc;5.123;1.673;69;2.708;673
1;9;No consta;69;18;5;35;11
2;1;2.1. Russafa;3.775;1.778;79;1.215;703
2;2;2.2. el Pla del Remei;3.735;1.104;70;2.055;506
2;3;2.3. Gran Via;2.469;881;34;1.162;392
2;9;No consta;15;3;0;9;3
3;1;3.1. el Botànic;1.006;351;22;390;243
3;2;3.2. la Roqueta;1.639;624;63;679;273
3;3;3.3. la Petxina;1.635;672;45;551;367
3;4;3.4. Arrancapins;2.904;1.071;104;1.116;613
3;9;No consta;26;3;0;21;2
4;1;4.1. Campanar;1.556;756;77;423;300
4;2;4.2. les Tendetes;348;133;38;112;65
4;3;4.3. el Calvari;272;144;31;65;32
4;4;4.4. Sant Pau;1.812;616;94;703;399
4;9;No consta;40;15;4;15;6
5;1;5.1. Marxalenes;635;273;53;201;108
5;2;5.2. Morvedre;742;313;37;244;148
5;3;5.3. Trinitat;652;283;25;212;132
5;4;5.4. Tormos;524;205;63;160;96
5;5;5.5. Sant Antoni;712;280;48;228;156
5;9;No consta;22;4;3;7;8
6;1;6.1. Exposició;1.041;292;22;491;236
6;2;6.2. Mestalla;1.992;696;68;920;308
6;3;6.3. Jaume Roig;789;229;16;412;132
6;4;6.4. Ciutat Universitària;414;145;7;151;111
6;9;No consta;18;5;0;8;5
7;1;7.1. Nou Moles;1.755;783;131;487;354
7;2;7.2. Soternes;269;116;25;63;65
7;3;7.3. Tres Forques;319;143;35;75;66
7;4;7.4. la Fontsanta;113;56;10;24;23
7;5;7.5. la Llum;299;119;37;88;55
7;9;No consta;6;1;2;3;0
8;1;8.1. Patraix;1.949;896;119;550;384
8;2;8.2. Sant Isidre;547;246;80;128;93
8;3;8.3. Vara de Quart;1.136;569;96;286;185
8;4;8.4. Safranar;607;229;68;203;107
8;5;8.5. Favara;252;122;29;51;50
8;9;No consta;18;5;7;1;5
9;1;9.1. la Raiosa;1.169;468;82;362;257
9;2;9.2. l'Hort de Senabre;1.059;503;93;254;209
9;3;9.3. la Creu Coberta;322;158;28;76;60
9;4;9.4. Sant Marcel·lí;487;209;68;113;97
9;5;9.5. Camí Real;202;94;34;48;26
9;9;No consta;9;1;2;4;2
10;1;10.1. Mont-Olivet;1.300;573;73;403;251
10;2;10.2. en Corts;774;400;45;194;135
10;3;10.3. Malilla;1.249;559;137;335;218
10;4;10.4. Fonteta de Sant Lluís;287;95;41;114;37
10;5;10.5. na Rovella;292;138;33;48;73
10;6;10.6. la Punta;442;277;45;82;38
10;7;10.7. Ciutat de les Arts i de les Ciències;949;397;58;338;156
10;9;No consta;38;17;7;6;8
11;0;11.0. Puerto;235;111;60;35;29
11;1;11.1. el Grau;978;364;243;260;111
11;2;11.2. el Cabanyal- el Canyamelar;1.649;864;122;390;273
11;3;11.3. la Malva-rosa;608;286;55;158;109
11;4;11.4. Beteró;423;195;35;129;64
11;5;11.5. Natzaret;247;123;36;45;43
11;9;No consta;10;4;1;2;3
12;1;12.1. Aiora;1.481;666;123;432;260
12;2;12.2. Albors;834;381;41;227;185
12;3;12.3. la Creu del Grau;807;364;76;214;153
12;4;12.4. Camí Fondo;351;137;16;135;63
12;5;12.5. Penya-roja;1.622;696;45;661;220
12;9;No consta;20;8;3;7;2
13;1;13.1. l'Illa Perduda;530;247;35;127;121
13;2;13.2. Ciutat Jardí;1.068;509;36;322;201
13;3;13.3. l'Amistat;522;219;26;163;114
13;4;13.4. la Bega Baixa;610;252;18;231;109
13;5;13.5. la Carrasca;419;130;6;145;138
13;9;No consta;13;5;0;4;4
14;1;14.1. Benimaclet;2.058;932;70;650;406
14;2;14.2. Camí de Vera;313;120;22;94;77
14;9;No consta;4;0;2;1;1
15;1;15.1. Orriols;710;310;71;191;138
15;2;15.2. Torrefiel;1.319;645;117;341;216
15;3;15.3. Sant Llorenç;912;346;42;347;177
15;9;No consta;14;8;1;4;1
16;1;16.1. Benicalap;2.442;1.068;287;697;390
16;2;16.2. Ciutat Fallera;261;134;42;44;41
16;9;No consta;1;0;0;0;1
17;1;17.1. Benifaraig;45;15;6;13;11
17;2;17.2. Poble Nou;91;51;5;26;9
17;3;17.3. Carpesa;63;26;6;20;11
17;4;17.4. Cases de Bàrcena;42;28;3;9;2
17;5;17.5. Mauella;3;2;0;1;0
