Actividades económicas comerciales y de servicios. 2020;;;;;;;
;;;;;;;
Distrito;Barrio;Denominación;Total;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios
1;1;1.1. la Seu;869;386;13;342;128
1;2;1.2. la Xerea;1.761;488;31;970;272
1;3;1.3. el Carme;878;387;15;315;161
1;4;1.4. el Pilar;633;210;15;243;165
1;5;1.5. el Mercat;1.479;882;14;438;145
1;6;1.6. Sant Francesc;5.085;1.600;71;2.752;662
1;9;No consta;84;25;7;44;8
2;1;2.1. Russafa;3.853;1.753;77;1.294;729
2;2;2.2. el Pla del Remei;3.889;1.102;66;2.182;539
2;3;2.3. Gran Via;2.475;865;37;1.164;409
2;9;No consta;16;5;0;9;2
3;1;3.1. el Botànic;1.013;343;21;395;254
3;2;3.2. la Roqueta;1.624;596;51;696;281
3;3;3.3. la Petxina;1.589;632;47;554;356
3;4;3.4. Arrancapins;2.912;1.028;109;1.168;607
3;9;No consta;13;2;0;7;4
4;1;4.1. Campanar;1.522;732;80;413;297
4;2;4.2. les Tendetes;350;140;38;110;62
4;3;4.3. el Calvari;249;131;26;59;33
4;4;4.4. Sant Pau;1.831;622;90;727;392
4;9;No consta;36;20;2;8;6
5;1;5.1. Marxalenes;629;266;58;201;104
5;2;5.2. Morvedre;743;312;36;258;137
5;3;5.3. Trinitat;642;274;26;223;119
5;4;5.4. Tormos;530;208;65;163;94
5;5;5.5. Sant Antoni;715;278;48;233;156
5;9;No consta;17;5;2;4;6
6;1;6.1. Exposició;1.059;279;21;521;238
6;2;6.2. Mestalla;1.999;680;67;954;298
6;3;6.3. Jaume Roig;807;228;13;431;135
6;4;6.4. Ciutat Universitària;398;137;5;147;109
6;9;No consta;16;5;0;6;5
7;1;7.1. Nou Moles;1.746;751;125;498;372
7;2;7.2. Soternes;261;109;24;68;60
7;3;7.3. Tres Forques;335;149;34;89;63
7;4;7.4. la Fontsanta;124;60;16;25;23
7;5;7.5. la Llum;290;116;37;85;52
7;9;No consta;6;1;2;3;0
8;1;8.1. Patraix;1.917;855;119;574;369
8;2;8.2. Sant Isidre;547;236;78;128;105
8;3;8.3. Vara de Quart;1.144;576;96;294;178
8;4;8.4. Safranar;591;220;62;215;94
8;5;8.5. Favara;249;116;27;54;52
8;9;No consta;13;3;5;2;3
9;1;9.1. la Raiosa;1.180;441;82;387;270
9;2;9.2. l'Hort de Senabre;1.078;496;93;270;219
9;3;9.3. la Creu Coberta;324;148;30;84;62
9;4;9.4. Sant Marcel·lí;495;197;66;136;96
9;5;9.5. Camí Real;240;113;41;58;28
9;9;No consta;11;5;2;2;2
10;1;10.1. Mont-Olivet;1.342;565;90;433;254
10;2;10.2. en Corts;769;372;46;213;138
10;3;10.3. Malilla;1.252;534;138;360;220
10;4;10.4. Fonteta de Sant Lluís;154;58;20;54;22
10;5;10.5. na Rovella;293;125;36;55;77
10;6;10.6. la Punta;454;284;52;80;38
10;7;10.7. Ciutat de les Arts i de les Ciències;1.033;393;73;414;153
10;9;No consta;42;22;4;7;9
11;0;11.0. Puerto;248;96;65;58;29
11;1;11.1. el Grau;935;342;239;242;112
11;2;11.2. el Cabanyal- el Canyamelar;1.687;865;109;418;295
11;3;11.3. la Malva-rosa;626;276;62;164;124
11;4;11.4. Beteró;417;194;33;135;55
11;5;11.5. Natzaret;265;127;34;50;54
11;9;No consta;10;4;1;2;3
12;1;12.1. Aiora;1.480;641;127;456;256
12;2;12.2. Albors;873;381;39;248;205
12;3;12.3. la Creu del Grau;793;367;72;208;146
12;4;12.4. Camí Fondo;361;130;16;146;69
12;5;12.5. Penya-roja;1.667;678;44;714;231
12;9;No consta;18;8;3;6;1
13;1;13.1. l'Illa Perduda;534;253;37;133;111
13;2;13.2. Ciutat Jardí;1.056;503;28;337;188
13;3;13.3. l'Amistat;510;205;30;159;116
13;4;13.4. la Bega Baixa;594;235;17;237;105
13;5;13.5. la Carrasca;487;145;11;172;159
13;9;No consta;11;3;0;3;5
14;1;14.1. Benimaclet;2.049;897;76;654;422
14;2;14.2. Camí de Vera;322;131;22;97;72
15;1;15.1. Orriols;727;309;73;198;147
15;2;15.2. Torrefiel;1.362;625;133;374;230
15;3;15.3. Sant Llorenç;913;341;41;355;176
15;9;No consta;12;8;1;2;1
16;1;16.1. Benicalap;2.490;1.049;277;767;397
16;2;16.2. Ciutat Fallera;268;124;41;56;47
17;1;17.1. Benifaraig;48;19;4;16;9
17;2;17.2. Poble Nou;80;47;4;21;8
17;3;17.3. Carpesa;68;30;5;22;11
17;4;17.4. Cases de Bàrcena;40;24;3;8;5
17;5;17.5. Mauella;2;1;0;1;0
17;6;17.6. Massarrojos;132;43;4;62;23
17;7;17.7. Borbotó;48;13;9;14;12
17;9;No consta;1;0;0;1;0
18;1;18.1. Benimàmet;695;334;65;183;113
18;2;18.2. Beniferri;343;109;12;164;58
19;1;19.1. el Forn d'Alcedo;181;110;13;40;18
19;2;19.2. el Castellar-l'Oliverar;398;140;77;130;51
19;3;19.3. Pinedo;247;118;19;68;42
19;4;19.4. el Saler;184;77;17;62;28
19;5;19.5. el Palmar;107;62;13;28;4
19;6;19.6. el Perellonet;106;47;4;42;13
19;7;19.7. la Torre;215;98;32;42;43
19;8;19.8. Faitanar;83;29;8;28;18
19;9;No consta;4;4;0;0;0
20;9;No consta;7.071;1.870;1.129;2.851;1.221
Impuesto de Actividades Económicas a 1/1/2020. Oficina d'Estadística. Ajuntament de València.;;;;;;;
