Actividades económicas comerciales y de servicios. 2018;;;;;;;
;;;;;;;
Distrito;Barrio;Denominación;Total;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios
1;1;1.1. la Seu;859;414;10;315;120
1;2;1.2. la Xerea;1.699;499;28;924;248
1;3;1.3. el Carme;778;374;12;245;147
1;4;1.4. el Pilar;595;210;11;225;149
1;5;1.5. el Mercat;1.496;919;10;426;141
1;6;1.6. Sant Francesc;4.894;1.590;66;2.598;640
1;9;No consta;64;19;2;32;11
2;1;2.1. Russafa;3.568;1.720;72;1.136;640
2;2;2.2. el Pla del Remei;3.514;1.051;69;1.900;494
2;3;2.3. Gran Via;2.340;872;41;1.069;358
2;9;No consta;12;2;0;8;2
3;1;3.1. el Botànic;983;350;25;377;231
3;2;3.2. la Roqueta;1.559;627;50;629;253
3;3;3.3. la Petxina;1.548;656;47;505;340
3;4;3.4. Arrancapins;2.748;1.035;102;1.056;555
3;9;No consta;23;1;0;19;3
4;1;4.1. Campanar;1.545;774;78;404;289
4;2;4.2. les Tendetes;336;133;40;97;66
4;3;4.3. el Calvari;251;134;24;59;34
4;4;4.4. Sant Pau;1.630;578;83;624;345
4;9;No consta;48;23;9;11;5
5;1;5.1. Marxalenes;644;286;53;194;111
5;2;5.2. Morvedre;687;299;33;220;135
5;3;5.3. Trinitat;630;287;21;192;130
5;4;5.4. Tormos;524;208;64;148;104
5;5;5.5. Sant Antoni;659;266;41;204;148
5;9;No consta;20;8;3;6;3
6;1;6.1. Exposició;997;282;21;466;228
6;2;6.2. Mestalla;1.872;657;61;846;308
6;3;6.3. Jaume Roig;734;211;11;390;122
6;4;6.4. Ciutat Universitària;417;150;10;152;105
6;9;No consta;16;2;0;10;4
7;1;7.1. Nou Moles;1.642;741;129;445;327
7;2;7.2. Soternes;249;116;21;48;64
7;3;7.3. Tres Forques;298;137;35;59;67
7;4;7.4. la Fontsanta;127;75;9;19;24
7;5;7.5. la Llum;297;113;38;88;58
7;9;No consta;9;4;1;4;0
8;1;8.1. Patraix;1.842;871;116;500;355
8;2;8.2. Sant Isidre;529;242;77;116;94
8;3;8.3. Vara de Quart;1.036;528;92;249;167
8;4;8.4. Safranar;611;240;69;197;105
8;5;8.5. Favara;237;124;27;43;43
8;9;No consta;14;5;6;1;2
9;1;9.1. la Raiosa;1.136;481;70;338;247
9;2;9.2. l'Hort de Senabre;994;474;88;233;199
9;3;9.3. la Creu Coberta;317;156;35;71;55
9;4;9.4. Sant Marcel·lí;487;218;69;104;96
9;5;9.5. Camí Real;197;91;35;43;28
9;9;No consta;5;1;1;2;1
10;1;10.1. Mont-Olivet;1.250;583;71;366;230
10;2;10.2. en Corts;720;372;39;187;122
10;3;10.3. Malilla;1.223;574;135;317;197
10;4;10.4. Fonteta de Sant Lluís;145;56;24;42;23
10;5;10.5. na Rovella;293;133;33;55;72
10;6;10.6. la Punta;363;237;33;62;31
10;7;10.7. Ciutat de les Arts i de les Ciències;980;438;59;336;147
10;9;No consta;40;16;8;10;6
11;0;11.0. Puerto;227;93;60;44;30
11;1;11.1. el Grau;1.019;406;249;253;111
11;2;11.2. el Cabanyal- el Canyamelar;1.524;828;121;325;250
11;3;11.3. la Malva-rosa;600;294;54;143;109
11;4;11.4. Beteró;357;172;29;105;51
11;5;11.5. Natzaret;232;121;32;39;40
11;9;No consta;8;2;1;2;3
12;1;12.1. Aiora;1.430;656;120;396;258
12;2;12.2. Albors;778;340;44;215;179
12;3;12.3. la Creu del Grau;772;361;75;192;144
12;4;12.4. Camí Fondo;316;129;14;117;56
12;5;12.5. Penya-roja;1.525;665;38;627;195
12;9;No consta;14;6;3;4;1
13;1;13.1. l'Illa Perduda;531;262;31;118;120
13;2;13.2. Ciutat Jardí;1.024;486;33;317;188
13;3;13.3. l'Amistat;481;223;28;127;103
13;4;13.4. la Bega Baixa;598;246;19;219;114
13;5;13.5. la Carrasca;410;127;8;147;128
13;9;No consta;16;5;1;5;5
14;1;14.1. Benimaclet;1.969;891;78;604;396
14;2;14.2. Camí de Vera;303;121;20;93;69
14;9;No consta;2;0;1;0;1
15;1;15.1. Orriols;680;311;67;176;126
15;2;15.2. Torrefiel;1.277;627;120;323;207
15;3;15.3. Sant Llorenç;842;329;37;317;159
15;9;No consta;18;10;4;4;0
16;1;16.1. Benicalap;2.378;1.070;289;623;396
16;2;16.2. Ciutat Fallera;256;129;39;45;43
16;9;No consta;1;0;0;0;1
17;1;17.1. Benifaraig;46;14;6;15;11
17;2;17.2. Poble Nou;83;45;6;25;7
17;3;17.3. Carpesa;64;27;6;20;11
17;4;17.4. Cases de Bàrcena;23;17;2;2;2
17;5;17.5. Mauella;4;3;0;1;0
17;6;17.6. Massarrojos;111;43;3;52;13
17;7;17.7. Borbotó;46;12;7;12;15
17;9;No consta;1;0;0;1;0
18;1;18.1. Benimàmet;697;346;57;183;111
18;2;18.2. Beniferri;352;114;15;159;64
19;1;19.1. el Forn d'Alcedo;173;111;11;38;13
19;2;19.2. el Castellar-l'Oliverar;393;161;73;105;54
19;3;19.3. Pinedo;208;102;15;54;37
19;4;19.4. el Saler;160;66;15;49;30
19;5;19.5. el Palmar;115;66;15;26;8
19;6;19.6. el Perellonet;100;47;5;36;12
19;7;19.7. la Torre;183;89;28;33;33
19;8;19.8. Faitanar;55;22;5;16;12
19;9;No consta;5;2;2;1;0
20;9;No consta;6.388;1.827;1.166;2.402;993
Impuesto de Actividades Económicas a 1/1/2018. Oficina d'Estadística. Ajuntament de València.;;;;;;;
