Actividades económicas comerciales y de servicios;;;;;;;;;
;;;;;;;;;
Distrito;Barrio;Denominación;Comercio, restaurantes, hostelería y reparaciones;Transportes y comunicaciones;Instituciones financieras y seguros;Otros servicios;;;
1;1;1.1. la Seu;368;11;298;103;;;
1;2;1.2. la Xerea;439;36;809;233;;;
1;3;1.3. el Carme;391;13;219;162;;;
1;4;1.4. el Pilar;208;15;173;133;;;
1;5;1.5. el Mercat;816;9;367;132;;;
1;6;1.6. Sant Francesc;1454;67;2292;622;;;
2;1;2.1. Russafa;1758;79;954;536;;;
2;2;2.2. el Pla del Remei;976;54;1614;416;;;
2;3;2.3. Gran Via;868;35;931;332;;;
3;1;3.1. el Botànic;369;19;289;204;;;
3;2;3.2. la Roqueta;592;34;538;217;;;
3;3;3.3. la Petxina;635;48;454;325;;;
3;4;3.4. Arrancapins;1076;106;969;517;;;
4;1;4.1. Campanar;777;68;387;250;;;
4;2;4.2. les Tendetes;163;38;92;57;;;
4;3;4.3. el Calvari;145;24;48;30;;;
4;4;4.4. Sant Pau;530;83;497;296;;;
5;1;5.1. Marxalenes;299;57;159;105;;;
5;2;5.2. Morvedre;322;32;201;133;;;
5;3;5.3. Trinitat;312;24;165;139;;;
5;4;5.4. Tormos;238;56;124;91;;;
5;5;5.5. Sant Antoni;290;43;182;128;;;
6;1;6.1. Exposició;284;11;435;200;;;
6;2;6.2. Mestalla;614;54;761;277;;;
6;3;6.3. Jaume Roig;209;13;338;117;;;
6;4;6.4. Ciutat Universitària;119;9;147;108;;;
7;1;7.1. Nou Moles;803;109;366;318;;;
7;2;7.2. Soternes;135;19;46;65;;;
7;3;7.3. Tres Forques;169;28;65;53;;;
7;4;7.4. la Fontsanta;82;8;21;29;;;
7;5;7.5. la Llum;110;41;70;51;;;
8;1;8.1. Patraix;890;113;448;346;;;
8;2;8.2. Sant Isidre;276;77;120;85;;;
8;3;8.3. Vara de Quart;502;87;193;151;;;
8;4;8.4. Safranar;249;73;189;95;;;
8;5;8.5. Favara;119;25;34;34;;;
9;1;9.1. la Raiosa;481;68;294;248;;;
9;2;9.2. l'Hort de Senabre;498;88;196;199;;;
9;3;9.3. la Creu Coberta;156;38;51;50;;;
9;4;9.4. Sant Marcel·lí;213;54;83;88;;;
9;5;9.5. Camí Real;91;33;43;25;;;
10;1;10.1. Mont-Olivet;596;82;327;230;;;
10;2;10.2. En Corts;373;44;153;126;;;
10;3;10.3. Malilla;614;151;275;194;;;
10;4;10.4. Fonteta de Sant Lluís;65;24;39;20;;;
10;5;10.5. na Rovella;147;29;42;61;;;
10;6;10.6. la Punta;264;37;66;40;;;
10;7;10.7. Ciutat de les Arts i de les Ciències;404;44;282;128;;;
11;1;11.1. el Grau;358;243;199;80;;;
11;2;11.2. el Cabanyal-el Canyamelar;874;134;270;226;;;
11;3;11.3. la Malva-rosa;318;51;124;105;;;
11;4;11.4. Beteró;184;32;104;51;;;
11;5;11.5. Natzaret;133;28;39;46;;;
11;0;11.0. El Puerto;56;56;23;17;;;
12;1;12.1. Aiora;675;109;349;242;;;
12;2;12.2. Albors;353;36;162;151;;;
12;3;12.3. la Creu del Grau;400;74;181;129;;;
12;4;12.4. Camí Fondo;139;14;104;53;;;
12;5;12.5. Penya-roja;558;42;565;168;;;
13;1;13.1. l'Illa Perduda;238;30;101;116;;;
13;2;13.2. Ciutat Jardí;509;35;280;166;;;
13;3;13.3. l'Amistat;220;31;128;110;;;
13;4;13.4. la Bega Baixa;235;15;194;106;;;
13;5;13.5. la Carrasca;125;8;120;95;;;
14;1;14.1. Benimaclet;891;84;574;399;;;
14;2;14.2. Camí de Vera;139;23;84;62;;;
15;1;15.1. Orriols;352;59;138;119;;;
15;2;15.2. Torrefiel;675;106;270;210;;;
15;3;15.3. Sant Llorenç;316;44;224;118;;;
16;1;16.1. Benicalap;1091;253;569;367;;;
16;2;16.2. Ciutat Fallera;130;32;43;42;;;
17;1;17.1. Benifaraig;21;6;10;13;;;
17;2;17.2. Poble Nou;47;4;23;7;;;
17;3;17.3. Carpesa;29;6;19;8;;;
17;4;17.4. Cases de Bàrcena;19;2;2;0;;;
17;5;17.5. Mauella;2;0;1;0;;;
17;6;17.6. Massarrojos;35;4;52;12;;;
17;7;17.7. Borbotó;10;8;11;12;;;
18;1;18.1. Benimàmet;341;55;170;111;;;
18;2;18.2. Beniferri;86;13;138;42;;;
19;1;19.1. el Forn d'Alcedo;120;15;31;11;;;
19;2;19.2. el Castellar-l'Oliverar;171;83;80;62;;;
19;3;19.3. Pinedo;133;17;55;46;;;
19;4;19.4. el Saler;55;12;48;18;;;
19;5;19.5. el Palmar;55;13;19;5;;;
19;6;19.6. el Perellonet;35;5;33;13;;;
19;7;19.7. la Torre;102;22;31;33;;;
19;8;19.8. Faitanar;26;4;13;11;;;
99;9;No consta;1983;1201;2271;920;;;
Impuesto de Actividades Económicas. Oficina de Estadística. Ajuntament de València;;;;;;;;;
