"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
47;"la Punta";10;106;25;28,3;28,67;28,36;30,55;29,44;28,19;29,62;29,7;30,63;31,33;33,1;33,85;34,5
48;"Ciutat de les Arts i les Ciències";10;107;25;33,19;33,97;34,25;33,42;33,31;33,89;35,07;34,83;35,24;35,8;35,4;35,54;35,68
49;"el Grau";11;111;25;32,9;32,67;32,65;32,59;32,81;33,31;34,15;35,09;35,19;35,54;35,45;36,23;36,2
50;"el Cabanyal-el Canyamelar";11;112;25;31,88;31,72;31,41;31,18;31,29;31,7;31,92;33;33,81;34,94;35,57;35,46;35,77
51;"la Malva-rosa";11;113;25;32,1;32,4;32;32,93;33,17;33,97;34,63;35,04;34,92;35,41;35,43;35,51;35,47
52;"Beteró";11;114;25;33,08;33,5;33,32;32,47;33;33,87;33,91;33,73;34,42;34,71;35,04;35,16;35,58
53;"Natzaret";11;115;25;31,51;31,27;31,58;31,14;31,25;32,76;33,62;33,13;33,72;34,36;34,45;34,38;34,77
54;"Aiora";12;121;25;32,06;32,08;31,99;32,33;32,58;33,19;33,91;34,45;34,69;34,84;35,08;35,14;35,37
55;"Albors";12;122;25;33,27;33,5;33,85;34,2;34,47;34,3;34,3;34,16;33,54;33,63;33,61;34,55;34,46
56;"la Creu del Grau";12;123;25;32,05;32,4;32,66;32,88;33,52;34,6;34,98;34,88;35,29;35,04;35,67;36,19;36,53
57;"Camí Fondo";12;124;25;32,54;32,45;31,71;32,57;33,13;34,03;34,51;34,67;35,35;35,65;36,02;36,47;37,47
58;"Penya-roja";12;125;25;33,43;33,94;34,12;34,22;34,97;35,28;34,99;35,29;34,9;35,45;35,33;36,14;36,34
59;"l'Illa Perduda";13;131;25;31,83;32,54;31,94;32,13;33,12;33,4;33,95;34,13;33,97;33,65;33,34;33,59;34,02
60;"Ciutat Jardí";13;132;25;31,85;32,2;32,22;32,42;32,63;32,76;32,93;32,98;32,9;33,73;34,11;34,26;34,36
61;"l'Amistat";13;133;25;32,01;31,98;32,04;32,17;33,06;33,19;33,96;33,95;33,79;34,26;34,24;34,09;33,52
62;"la Bega Baixa";13;134;25;32,44;32,85;32,59;33,19;33,2;33,85;34,3;33,54;33,96;34,7;34,12;34,56;33,37
63;"la Carrasca";13;135;25;32,45;31,04;30,86;29,74;30,78;31,1;30,46;29,87;30,76;31,24;31,68;32,51;32,14
64;"Benimaclet";14;141;25;31,66;31,9;31,85;32,43;32,54;33,11;33,57;33,32;33,75;33,84;33,8;33,67;33,96
65;"Camí de Vera";14;142;25;32,42;33,28;33,76;33,21;34,07;33,87;34,25;34,54;35,08;35,51;35,18;35,14;35,76
66;"Orriols";15;151;25;30,82;31,07;31,49;32,24;32,79;33,27;33,95;34,11;34,28;33,68;33,57;33,95;33,99
67;"Torrefiel";15;152;25;31,11;31,12;31,39;31,57;32,12;32,93;33,63;33,95;34,4;34,07;33,91;34,24;34,9
68;"Sant Llorenç";15;153;25;32,99;33,35;33,23;33,31;33,7;34,43;34,65;35,43;36,1;35,77;35,88;36,51;37,06
69;"Benicalap";16;161;25;31,57;31,55;31,53;31,72;32,17;32,97;33,47;33,73;33,96;33,59;33,86;34,17;34,58
70;"Ciutat Fallera";16;162;25;31,28;30,65;30,62;31,72;32,05;33,18;33,89;34,26;34,66;34,8;34,83;35,04;35,24
71;"Benifaraig";17;171;25;32,02;30,51;31,18;31,7;32,48;33,65;38,52;39,74;37,79;37,38;38,72;37,14;37,06
72;"Poble Nou";17;172;25;30,95;31,13;30,33;30,41;31,85;32,86;34;34,09;34,58;34,99;33,93;35,13;37,06
73;"Carpesa";17;173;25;32,58;32,18;32,92;33,45;33,86;36,12;36,18;36,69;35,57;36,59;35,25;35,6;35,56
74;"Cases de Bàrcena";17;174;25;31,38;29,61;30,43;30,27;29,46;28,77;31,41;33,43;35,95;36,63;33,26;34,66;36,83
75;"Mauella";17;175;25;38;39;40;33;36,02;34,7;46,27;48,55;49,55;45,57;47,42;47,94;48,94
76;"Massarrojos";17;176;25;31,42;31,84;32,62;33,48;34,02;33,87;34,44;34,17;35,07;36,35;36,64;38,68;38,68
77;"Borbotó";17;177;25;29,04;30,51;32,52;32,88;30,83;27,45;31,23;31,51;32,15;33,98;31,71;31,69;30,24
78;"Benimàmet";18;181;25;30,47;30,99;31,63;31,82;32,46;33,04;34;34,23;34,44;34,25;35,04;35,56;36,02
79;"Beniferri";18;182;25;35,23;34,65;35,05;34,62;33,24;34,16;35,74;35,69;35,29;35,02;36,07;38,18;39,22
80;"el Forn d'Alcedo";19;191;25;29,95;30,92;33,07;35,01;36,62;35,14;36,49;32,42;34,85;34,98;35;35,36;34,14
81;"el Castellar-l'Oliverar";19;192;25;30,37;31,05;31,03;31,27;31,94;32,72;32,58;32,88;33,55;34,34;34,47;34,57;35,03
82;"Pinedo";19;193;25;33,92;33,14;33,65;33,98;34,8;36,32;36,51;37,88;37,61;38,14;38,48;39,35;38,99
83;"el Saler";19;194;25;33,19;34,79;33,73;34,56;36,01;37,52;38,3;39,25;39,15;38,31;38,49;39,65;41,4
84;"el Palmar";19;195;25;27,2;28,66;29,59;31,11;31,92;33,3;34,02;34,91;35,39;34,48;37,01;35,65;35,39
85;"el Perellonet";19;196;25;35,4;33,33;32,99;33,86;35,24;35,07;34,26;34,64;37,24;36,88;38,72;38,13;38,44
86;"la Torre";19;197;25;31,91;31,03;31,28;31,31;31,61;32,22;33,75;34,33;34,91;34,45;34,39;35,09;35,03
87;"Faitanar";19;198;25;32,32;33,58;33,27;33,32;35,21;34,1;34,35;33,64;33,74;33,07;33,11;33,31;34,09
