"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
50;"el Cabanyal-el Canyamelar";11;112;97;92,64;93,45;89,23;89,32;90,14;89,35;89,92;89,94;90,75;90,16;90,54;89,55
51;"la Malva-rosa";11;113;97;95,64;95,24;89,26;89,6;88,48;88,31;88,78;89,28;88,19;84,41;81,58;82,88
52;"Beteró";11;114;97;95,83;95,74;89,63;90,85;90,12;90,68;91,57;91,46;89,16;91,2;90,84;89,32
53;"Natzaret";11;115;97;90,67;89,9;84,39;87,03;86,38;88,6;88,26;86,58;86,09;85,8;86,38;86,49
54;"Aiora";12;121;97;90,2;90,83;86,06;86,06;85,96;86,42;86,62;86,96;86,78;87,75;87,52;87,33
55;"Albors";12;122;97;95,57;96,21;93,15;92,83;93,47;93,12;93,07;92,09;91,52;91,03;91,59;91,02
56;"la Creu del Grau";12;123;97;93,69;94,46;90,22;90,19;90,31;90,47;90,81;89,94;89,53;89,24;88,93;89,09
57;"Camí Fondo";12;124;97;96,3;96,75;93,26;92,27;92,17;92,79;92,21;91,61;90,12;90,5;90,31;89,93
58;"Penya-roja";12;125;97;98,02;97,37;92,28;92,62;92,84;92,62;94,7;95,16;95,07;95,38;95,79;95,32
59;"l'Illa Perduda";13;131;97;94,71;95,37;92,25;91,47;92,06;90;89,2;90,27;91,88;90,77;90,38;90,47
60;"Ciutat Jardí";13;132;97;95,02;95,51;92,4;92,88;93,25;93,43;93,85;93,19;93,47;93,26;92,76;92,7
61;"l'Amistat";13;133;97;94,34;94,49;92,3;92,31;92,36;92,83;92,93;93;92,11;92,07;92,41;91,81
62;"la Bega Baixa";13;134;97;97,04;97,8;94,37;95,5;94,55;93,8;94,11;92,98;93,38;93,8;93,93;93,49
63;"la Carrasca";13;135;97;93,93;93,66;91,31;90,46;90,13;90,74;90,35;91,01;89,86;90,35;90,16;90,62
64;"Benimaclet";14;141;97;92,96;93,01;88,46;89,01;89,52;90,24;89,14;88,87;88,94;89,28;89,15;88,69
65;"Camí de Vera";14;142;97;91,74;91,74;89,36;91,44;91,1;90,75;90,46;90,99;89,09;89,72;89,29;88,42
66;"Orriols";15;151;97;92,77;92,68;86,28;86,75;87,39;86,36;86,25;86,38;85,22;84,24;84,39;83,9
67;"Torrefiel";15;152;97;90,6;91,1;84,94;84,88;84,93;85,19;85,6;85,2;84,47;83,09;82,86;82,4
68;"Sant Llorenç";15;153;97;94,94;95,51;90,53;91,25;91,64;92,64;92,55;92,41;92,8;91,79;91,77;91,27
69;"Benicalap";16;161;97;90,74;91,23;84,84;85,54;85,86;85,26;86,08;86,48;86,93;87,01;86,48;86,51
70;"Ciutat Fallera";16;162;97;81,77;80,79;82,15;82,52;83,43;84,53;81,27;81,82;81,72;82,64;82,49;80
71;"Benifaraig";17;171;97;93,94;96,55;87,72;84,75;81,54;80,6;83,56;84,29;83,08;84,38;81,69;85,53
