"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
44;"Malilla";10;103;76;28,11;30,4;34,33;38,34;41,43;43,75;48,89;53,86;57,74;60,07;60,35;60,76;60,98;60,53
45;"Fonteta de Sant Lluís";10;104;76;30,62;33,95;37,87;42,45;45,78;48,05;53,62;58,66;62,34;65,68;66,02;66,16;66,06;63,36
46;"na Rovella";10;105;76;39,12;41,26;45,42;47,03;51,82;54,7;61,13;66,3;70,7;73,07;73,92;73,56;73,07;71,97
47;"la Punta";10;106;76;38,82;39,94;42,16;44,59;48,75;51,02;53,04;54,57;58,2;60,06;59,72;58,02;57,81;58,94
48;"Ciutat de les Arts i les Ciències";10;107;76;20,81;23,54;25,02;27,72;31,07;34,07;39,07;43,32;45,69;47,96;48,26;48,5;48,19;48,21
49;"el Grau";11;111;76;30,48;32,65;35,36;38,66;41,84;45,05;51,09;55,22;58,95;62,71;62,21;61,34;61,05;60,56
50;"el Cabanyal-el Canyamelar";11;112;76;35,19;37,14;41,02;44,05;46,46;48,83;54,15;58,18;62,15;65,19;64,76;64,71;63,67;63,74
51;"la Malva-rosa";11;113;76;30,47;32,99;36,7;41,22;44,73;47,27;51,6;56,19;59,91;63,13;63,59;63,13;63,29;62,47
52;"Beteró";11;114;76;27,71;29,57;32,75;37,07;40,06;43,87;49,52;52,75;56,36;59,28;58,9;59,48;60,29;59,46
53;"Natzaret";11;115;76;35,94;38,9;42,9;45,72;49,11;52,39;58,06;62,07;66,83;71,04;70,43;69,84;69,77;70,18
54;"Aiora";12;121;76;31,29;33,96;38,09;41,18;43,28;46,47;51,79;56,14;59,58;62,32;62,35;61,49;61,66;60,51
55;"Albors";12;122;76;32,62;35,17;38,77;41,41;44,49;47,04;51,92;55,17;59,29;61,33;61,19;60,08;60,15;59,99
56;"la Creu del Grau";12;123;76;31,72;33,95;37,47;40,83;44,2;47,91;53,2;57,61;61,07;62,63;62,29;61,6;61,49;60,54
57;"Camí Fondo";12;124;76;30,68;33,63;37,75;42,06;43,11;46,72;52,11;57,38;60,37;61,78;62,12;62,7;62,12;62,24
58;"Penya-roja";12;125;76;17,38;19,21;17,86;21,02;23,54;26,5;32,26;36,67;39,87;43,08;42,74;42,9;44,27;43,86
59;"l'Illa Perduda";13;131;76;28,84;31,54;35,32;39,75;42,93;45,62;50,55;54,05;57,76;60,49;60,76;59,72;60,18;58,83
60;"Ciutat Jardí";13;132;76;31,01;33,25;36,42;39,44;42,96;45,17;49,57;53,24;56,48;58,07;58,49;59,23;59,36;58,46
61;"l'Amistat";13;133;76;33,98;36,73;40,36;43,97;46,38;47,9;53,57;56,81;60,86;62,82;62,86;62,31;63,24;62,64
62;"la Bega Baixa";13;134;76;29,71;31,44;35,26;39,12;40,69;43,11;46,39;50,79;54,38;56,73;56,6;56,9;56,67;56,31
63;"la Carrasca";13;135;76;27,84;29,58;31,16;34,41;38,31;42,1;47,45;50,26;54,21;54,77;56,07;57;58,93;56,73
64;"Benimaclet";14;141;76;32,64;34,5;37,08;40,71;43,62;46,11;50,87;54,81;57,18;59,48;59,27;59,49;59,39;59,05
65;"Camí de Vera";14;142;76;28,18;29,77;32,35;36,14;38,85;41,52;46,06;51,15;54,91;58,35;58,2;58,16;58,35;57,38
66;"Orriols";15;151;76;35,67;38,02;41,22;45,66;49,06;52,3;57,86;62,95;66,85;69,95;70,46;69,64;69,08;67,73
67;"Torrefiel";15;152;76;31,69;33,99;37,83;42,05;46;48,63;54,45;58,99;62,88;65,97;64,92;64,28;64,25;63,47
68;"Sant Llorenç";15;153;76;22,72;24,1;25,38;27,6;28,81;31,41;36,76;41,74;44,63;48,06;48,79;48,75;49,64;49,76
69;"Benicalap";16;161;76;29,8;31,57;35,43;39,14;42,04;44,69;49,36;53,47;56,83;59,98;59,42;59,24;58,79;57,95
70;"Ciutat Fallera";16;162;76;34,47;35,15;39,16;44,44;47,98;50,29;56,13;60,45;65,25;68;68,07;67,85;67,53;66,65
71;"Benifaraig";17;171;76;25,9;30,73;34,17;37,5;40,58;44,57;48,17;52,32;54,68;59,45;60,39;58,92;58,14;58,84
72;"Poble Nou";17;172;76;37,19;43,16;46,76;50;49,57;52,64;53,85;55,43;59,63;65,21;66,14;67,57;67,94;67,83
73;"Carpesa";17;173;76;31,1;34,9;39,15;41,11;44,68;47,26;49,84;54,76;57,73;61,16;61,86;63,46;63,73;64,19
74;"Cases de Bàrcena";17;174;76;31,82;31,94;36,18;42,21;42,67;50,68;62,68;65,31;68,57;71,11;73,91;69,09;69,36;74,15
75;"Mauella";17;175;76;57,89;50;43,75;43,75;37,5;25;29,41;35,29;47,06;43,75;62,5;70,59;66,67;62,96
76;"Massarrojos";17;176;76;21,86;21,94;23,87;28,61;29,81;32,25;37,33;39,8;43,55;46,91;46,21;46,62;47,3;45,5
77;"Borbotó";17;177;76;29,55;32,33;35,62;40;42,33;47,34;53,74;55,53;60,43;63,61;62,13;65,43;64,63;64
78;"Benimàmet";18;181;76;29,76;32,19;36,51;40,63;44,38;47,77;53,46;58,29;62,36;65,34;65;64,16;63,64;63,38
79;"Beniferri";18;182;76;23,47;23,71;23,43;25,38;29,77;32,82;38,12;41,61;43,33;47,22;46,34;46,52;47,05;44,33
80;"el Forn d'Alcedo";19;191;76;32,25;34,31;36,36;42,9;44,12;48,5;53,23;57,31;59,16;56,9;58,35;57,67;59,15;59,97
81;"el Castellar-l'Oliverar";19;192;76;31,97;33,89;36,27;39,52;42,44;45,59;50,17;54,37;57,54;59,8;59,69;59,62;59,69;59,19
82;"Pinedo";19;193;76;29,98;32,15;38,56;42,42;44,54;45,81;52,3;56,44;60,06;61,52;60,92;61,43;59,96;58,73
83;"el Saler";19;194;76;26,28;29,32;33,07;37,29;39,68;41,48;44,94;46,89;52,06;54,3;56,02;52,89;52,99;52,92
84;"el Palmar";19;195;76;28,37;31,04;32,61;35,89;41,19;44,03;48,37;51,73;54,66;56,04;55,23;53,81;52,36;50
85;"el Perellonet";19;196;76;23,49;28,13;31,15;34,82;38,9;40,11;46,9;50,55;55,51;57,86;58,38;58,31;58,15;58,89
86;"la Torre";19;197;76;33,05;35,39;39,1;42,35;45,29;50,09;56,02;60,06;64,2;67,27;67,73;66,59;66,18;65,12
87;"Faitanar";19;198;76;30,49;30,77;40,31;44,72;42,53;47,72;53,53;53;53,85;47,65;47,21;46,51;45,2;42,38
