"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
53;"Natzaret";11;115;28;2,35;2,32;2,26;1,94;1,96;2,14;2,15;2,17;2,16;2,17;1,97
54;"Aiora";12;121;28;3,41;3,18;3,17;3,08;3,16;3,22;3,3;3;3,01;2,98;3,01
55;"Albors";12;122;28;0,67;0,68;0,64;0,74;0,65;0,69;0,72;0,77;0,7;0,59;0,68
56;"la Creu del Grau";12;123;28;2,13;2,22;1,92;1,94;1,88;1,89;1,91;1,76;1,87;1,78;1,72
57;"Camí Fondo";12;124;28;0,57;0,66;0,67;0,79;0,79;0,84;0,88;0,85;0,85;0,82;0,76
58;"Penya-roja";12;125;28;0,18;0,22;0,32;0,64;0,6;0,6;0,62;0,63;0,8;0,78;0,84
59;"l'Illa Perduda";13;131;28;0,35;0,39;0,38;0,42;0,53;0,58;0,53;0,49;0,57;0,53;0,48
60;"Ciutat Jardí";13;132;28;1,1;1,02;1,04;1,03;0,87;0,85;0,79;0,91;1,08;1,11;1,14
61;"l'Amistat";13;133;28;0,76;0,83;0,91;0,94;0,88;0,87;0,86;0,82;0,9;0,93;1,04
62;"la Bega Baixa";13;134;28;0,28;0,25;0,27;0,22;0,31;0,24;0,18;0,18;0,2;0,27;0,32
63;"la Carrasca";13;135;28;0,4;0,43;0,36;0,39;0,34;0,32;0,34;0,42;0,44;0,46;0,36
64;"Benimaclet";14;141;28;3,1;3,01;3,11;2,9;3,03;2,78;2,53;2,5;2,31;2,35;2,49
65;"Camí de Vera";14;142;28;0,34;0,2;0,27;0,16;0,14;0,19;0,18;0,25;0,21;0,22;0,24
66;"Orriols";15;151;28;7,56;7,24;7,19;7,25;7,2;7,64;7,79;7,92;8,13;8,23;8,45
67;"Torrefiel";15;152;28;5,91;6,4;6,32;6,48;6,75;6,9;7,05;7,05;7,08;6,67;6,46
68;"Sant Llorenç";15;153;28;0,32;0,35;0,44;0,4;0,55;0,54;0,49;0,45;0,47;0,5;0,46
69;"Benicalap";16;161;28;6,15;6,33;6,76;7,14;7,34;7,31;6,99;6,9;6,53;6,58;6,24
70;"Ciutat Fallera";16;162;28;1,7;1,51;1,42;1,49;1,51;1,43;1,62;1,81;1,67;1,58;1,36
71;"Benifaraig";17;171;28;0,04;0,04;0,05;0,05;0,03;0,03;0,04;0,04;0,06;0,07;0,07
72;"Poble Nou";17;172;28;0,26;0,22;0,2;0,21;0,27;0,25;0,26;0,21;0,27;0,3;0,25
73;"Carpesa";17;173;28;0,08;0,1;0,11;0,1;0,12;0,13;0,11;0,08;0,04;0,03;0,07
74;"Cases de Bàrcena";17;174;28;0,1;0,1;0,21;0,18;0,14;0,12;0,12;0,17;0,2;0,24;0,21
75;"Mauella";17;175;28;0;0;0;0;0;0;0;0;0;0;0
76;"Massarrojos";17;176;28;0,02;0,01;0,03;0,03;0,03;0,03;0,06;0,04;0,04;0,04;0,04
77;"Borbotó";17;177;28;0,04;0,04;0,03;0,03;0,03;0,01;0,01;0,03;0,04;0,05;0,06
78;"Benimàmet";18;181;28;2,44;2,54;2,25;2,09;1,91;1,76;1,58;1,66;1,56;1,56;1,74
79;"Beniferri";18;182;28;0,08;0,1;0,12;0,13;0,1;0,09;0,1;0,13;0,12;0,08;0,1
80;"el Forn d'Alcedo";19;191;28;0,24;0,22;0,17;0,14;0,16;0,16;0,16;0,13;0,19;0,19;0,19
81;"el Castellar-l'Oliverar";19;192;28;0,61;0,62;0,51;0,48;0,49;0,46;0,43;0,45;0,42;0,41;0,4
82;"Pinedo";19;193;28;0,07;0,07;0,05;0,04;0,03;0,05;0,04;0,03;0,03;0,04;0,04
83;"el Saler";19;194;28;0,04;0,04;0,03;0,03;0,02;0,01;0,06;0,06;0,05;0,07;0,06
84;"el Palmar";19;195;28;0;0;0;0;0;0;0;0;0,02;0,02;0,03
85;"el Perellonet";19;196;28;0,02;0,03;0,03;0,03;0,06;0,05;0,04;0,05;0,06;0,1;0,14
86;"la Torre";19;197;28;1,32;1,29;1,1;1,14;0,95;0,95;0,96;1,08;1,14;1,13;1,34
87;"Faitanar";19;198;28;0,04;0,05;0,08;0,1;0,11;0,11;0,09;0,08;0,07;0,08;0,1
