"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
53;"Natzaret";11;115;32;0,53;0,58;0,61;0,64;0,49;0,61;0,67;0,7;0,61;0,61;0,63
54;"Aiora";12;121;32;6,42;6,29;6,27;6,05;6,08;5,83;5,78;5,56;5,33;5,44;5,13
55;"Albors";12;122;32;0,96;1,06;1,14;1,27;1,14;1,08;1,15;1,29;1,26;1,22;1,19
56;"la Creu del Grau";12;123;32;4,58;4,71;4,89;4,81;4,82;4,3;4,24;4,06;3,85;3,68;3,46
57;"Camí Fondo";12;124;32;1,03;0,94;1,11;1,1;0,96;1,03;0,92;1;1,16;0,94;0,89
58;"Penya-roja";12;125;32;1,13;1,02;0,96;1,04;1,33;1,45;1,51;1,3;1,17;1,26;1,15
59;"l'Illa Perduda";13;131;32;1,04;1,06;1,06;0,91;0,8;0,75;0,93;0,98;0,9;1,01;1,05
60;"Ciutat Jardí";13;132;32;1,85;1,51;1,44;1,65;1,76;1,88;1,86;1,78;1,87;1,95;1,88
61;"l'Amistat";13;133;32;2,47;2,29;2,19;2,25;2,08;1,86;1,63;1,66;1,72;1,74;1,71
62;"la Bega Baixa";13;134;32;0,14;0,2;0,32;0,28;0,28;0,38;0,33;0,3;0,3;0,28;0,24
63;"la Carrasca";13;135;32;0,24;0,22;0,17;0,28;0,34;0,4;0,27;0,38;0,35;0,34;0,28
64;"Benimaclet";14;141;32;2,87;2,53;2,62;2,71;2,85;2,91;2,85;2,84;2,83;2,83;2,66
65;"Camí de Vera";14;142;32;0,19;0,21;0,21;0,28;0,29;0,3;0,36;0,39;0,38;0,41;0,45
66;"Orriols";15;151;32;4,13;4;3,87;4,15;3,93;3,71;3,68;4,03;4,38;4,35;4,47
67;"Torrefiel";15;152;32;2,65;2,85;2,94;2,7;2,7;2,66;2,66;2,71;3,17;3,36;3,34
68;"Sant Llorenç";15;153;32;0,47;0,56;0,62;0,6;0,56;0,43;0,45;0,56;0,5;0,55;0,4
69;"Benicalap";16;161;32;6,04;6,15;5,65;5,47;5,1;5,43;5,69;6,03;6,08;5,82;5,92
70;"Ciutat Fallera";16;162;32;0,8;0,81;0,69;0,55;0,81;0,76;0,79;0,72;0,65;0,65;0,78
71;"Benifaraig";17;171;32;0;0;0;0;0;0;0;0;0,01;0;0,01
72;"Poble Nou";17;172;32;0,04;0,01;0,01;0,01;0,01;0,01;0,05;0,05;0,02;0,02;0,04
73;"Carpesa";17;173;32;0;0;0;0;0;0;0;0;0;0;0,03
74;"Cases de Bàrcena";17;174;32;0;0,01;0,02;0,04;0,02;0,02;0,03;0,01;0,01;0,01;0,01
75;"Mauella";17;175;32;0;0;0;0;0;0;0;0;0;0;0
76;"Massarrojos";17;176;32;0,03;0;0,01;0;0,01;0,01;0,03;0,03;0,03;0,03;0,03
77;"Borbotó";17;177;32;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02
78;"Benimàmet";18;181;32;0,49;0,56;0,58;0,63;0,56;0,51;0,48;0,6;0,62;0,6;0,64
79;"Beniferri";18;182;32;0,21;0,22;0,25;0,23;0,17;0,12;0,12;0,11;0,1;0,1;0,08
80;"el Forn d'Alcedo";19;191;32;0,02;0,05;0,06;0,03;0,04;0,04;0,05;0,06;0,07;0,05;0,05
81;"el Castellar-l'Oliverar";19;192;32;0,1;0,1;0,1;0,11;0,1;0,09;0,06;0,07;0,06;0,06;0,05
82;"Pinedo";19;193;32;0;0,02;0,06;0,05;0,06;0,07;0,05;0,06;0,05;0,06;0,06
83;"el Saler";19;194;32;0;0,01;0,01;0,01;0,01;0,01;0,02;0,06;0,06;0,06;0,04
84;"el Palmar";19;195;32;0;0;0;0;0;0;0;0;0;0;0
85;"el Perellonet";19;196;32;0;0;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02
86;"la Torre";19;197;32;0,76;0,86;0,89;0,84;0,7;0,71;0,75;0,64;0,73;0,73;0,84
87;"Faitanar";19;198;32;0,01;0,01;0;0;0;0;0,02;0,03;0,04;0,07;0,09
