"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
44;"Malilla";10;103;78;3,86;3,79;3,94;3,83;3,75;3,8;3,71;3,69;3,63;3,55;3,61;3,36;3,42;3,34
45;"Fonteta de Sant Lluís";10;104;78;3,48;3,61;3,75;3,88;3,82;3,75;4,35;4,64;4,33;4,34;3,86;4,16;4,19;4,49
46;"na Rovella";10;105;78;3,92;3,87;3,91;3,89;3,97;3,89;4,11;3,9;3,7;3,67;3,44;3,73;3,96;4,01
47;"la Punta";10;106;78;4,51;4,95;4,55;4,94;4,91;5,49;5,48;5,59;5,66;4,61;4,55;4,16;4,17;3,93
48;"Ciutat de les Arts i les Ciències";10;107;78;9,4;9,29;8,71;8,66;8,78;8,8;8,77;8,32;7,96;7,38;6,67;6,75;6,37;6,25
49;"el Grau";11;111;78;3,95;3,89;4,5;4,83;4,51;4,52;4,36;4,05;4,2;4,23;4,26;3,84;3,64;3,43
50;"el Cabanyal-el Canyamelar";11;112;78;4,04;4,05;4,05;4,07;4,01;4,05;4,08;4,03;4,07;4;3,97;3,82;3,81;3,68
51;"la Malva-rosa";11;113;78;3,8;3,97;3,99;3,96;4,1;4,04;3,82;3,92;3,81;3,9;3,63;3,68;3,44;3,48
52;"Beteró";11;114;78;3,71;3,66;4,12;4,28;4,32;4,29;4,17;4,22;4,11;3,96;3,98;3,82;3,49;3,64
53;"Natzaret";11;115;78;4,64;4,93;4,92;4,87;4,78;4,78;4,5;4,17;3,95;3,81;4,19;3,92;3,94;4,12
54;"Aiora";12;121;78;3,81;4,03;4,03;3,91;4,16;4,15;4,15;4,01;3,89;3,8;3,64;3,52;3,55;3,32
55;"Albors";12;122;78;4,98;5,39;5,52;5,32;5,34;5,06;4,96;4,86;4,81;4,88;4,77;4,74;4,84;4,67
56;"la Creu del Grau";12;123;78;3,35;3,34;3,73;3,73;3,78;3,71;3,78;3,79;3,62;3,59;3,46;3,44;3,35;3,11
57;"Camí Fondo";12;124;78;5,92;5,63;5,49;4,77;5,44;5,42;5,88;5,71;5,63;5,32;5,46;5,18;5,29;5,53
