"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
72;"Poble Nou";17;172;61;-4;-7;-3;-8;-2;3;3;3;-1;0
73;"Carpesa";17;173;61;-5;-1;-3;-7;-4;-5;2;-2;0;-3
74;"Cases de Bàrcena";17;174;61;-3;0;-5;-1;-7;-3;-1;-1;0;0
75;"Mauella";17;175;61;-1;0;1;-1;0;-2;0;0;-1;0
76;"Massarrojos";17;176;61;-6;10;-3;4;-9;-18;-8;-12;1;-2
77;"Borbotó";17;177;61;-5;-8;-1;-8;-4;3;3;-4;-6;1
78;"Benimàmet";18;181;61;15;13;13;21;-11;26;23;-12;-7;-13
79;"Beniferri";18;182;61;3;5;7;9;14;14;5;6;-2;-1
80;"el Forn d'Alcedo";19;191;61;-3;-11;-3;-3;-4;-5;-7;-5;-2;3
81;"el Castellar-l'Oliverar";19;192;61;-10;-8;0;-21;-24;-30;-26;-13;-9;-13
82;"Pinedo";19;193;61;-9;-4;-4;-7;-11;12;-11;-15;-8;-6
83;"el Saler";19;194;61;2;1;0;11;3;-4;1;1;-2;0
84;"el Palmar";19;195;61;1;-1;-10;5;-1;-6;-2;-3;-6;1
85;"el Perellonet";19;196;61;-3;-2;1;4;-8;9;-1;-5;-2;0
86;"la Torre";19;197;61;-19;-13;-5;-6;-15;5;4;-4;-8;-4
87;"Faitanar";19;198;61;13;9;11;14;15;18;11;10;4;4
