"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
47;"la Punta";10;106;23;0,18;0,19;0,24;0,25;0,36;0,45;0,48;0,46;0,44;0,37;0,34;0,35;0,36
48;"Ciutat de les Arts i les Ciències";10;107;23;0,7;0,66;0,62;0,61;0,67;0,76;0,79;0,89;0,9;0,94;1,04;1,07;1,04
49;"el Grau";11;111;23;1,42;1,51;1,51;1,52;1,52;1,55;1,54;1,48;1,51;1,48;1,44;1,44;1,49
50;"el Cabanyal-el Canyamelar";11;112;23;2,46;2,63;2,88;3,06;3,14;3,23;3,19;3,05;3,01;2,67;2,56;2,68;2,71
51;"la Malva-rosa";11;113;23;1,46;1,44;1,52;1,52;1,57;1,6;1,6;1,51;1,47;1,43;1,46;1,51;1,55
52;"Beteró";11;114;23;0,68;0,68;0,67;0,7;0,74;0,7;0,74;0,74;0,78;0,76;0,73;0,78;0,74
53;"Natzaret";11;115;23;1,31;1,3;1,22;1,14;1,08;1,04;0,99;0,96;0,98;0,93;0,97;0,99;0,98
54;"Aiora";12;121;23;3,74;3,85;3,8;3,73;3,66;3,66;3,62;3,63;3,58;3,52;3,41;3,45;3,36
55;"Albors";12;122;23;1,15;1,18;1,15;1,17;1,14;1,15;1,13;1,15;1,14;1,12;1,11;1,08;1,14
56;"la Creu del Grau";12;123;23;2,43;2,47;2,33;2,42;2,44;2,43;2,45;2,36;2,35;2,28;2,25;2,21;2,16
57;"Camí Fondo";12;124;23;0,77;0,75;0,77;0,75;0,79;0,81;0,83;0,85;0,82;0,82;0,79;0,73;0,68
58;"Penya-roja";12;125;23;1,26;1,23;1,16;1,22;1,21;1,29;1,43;1,46;1,47;1,44;1,53;1,58;1,57
59;"l'Illa Perduda";13;131;23;0,69;0,65;0,68;0,67;0,68;0,69;0,67;0,68;0,74;0,76;0,76;0,74;0,79
60;"Ciutat Jardí";13;132;23;1,41;1,4;1,4;1,35;1,31;1,35;1,33;1,41;1,39;1,32;1,27;1,31;1,29
