"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
57;"Camí Fondo";12;124;68;86,42;61,46;56,56;57;58,21;65,53;55,2;22,83;12;12,8
58;"Penya-roja";12;125;68;48,27;49,86;47,53;44,09;38,95;38,59;52,5;24;10,06;10,29
59;"l'Illa Perduda";13;131;68;37,26;28,83;32,96;29,64;38,22;31,99;30,24;11,8;7,46;7,08
60;"Ciutat Jardí";13;132;68;39,56;38,71;39,88;40,99;38,82;34,69;33;17,2;10,06;5,65
61;"l'Amistat";13;133;68;66,39;63,36;50,62;52,54;43,72;43,54;46,42;20,65;8,86;10,12
62;"la Bega Baixa";13;134;68;34,68;26,97;31,92;31,76;26,05;36,63;29,23;10,79;7,56;9,27
63;"la Carrasca";13;135;68;29,33;29,58;38,65;26,18;36,06;31,64;30,96;18,03;3,48;8,47
64;"Benimaclet";14;141;68;55,58;48,41;51,16;43,57;44,97;38,47;39,64;19,03;8,49;9
65;"Camí de Vera";14;142;68;35,38;26,81;28,66;30,54;35,19;27,81;26,76;12,04;4,65;10,22
66;"Orriols";15;151;68;77,41;82,04;76,77;68,68;69,68;63,69;63,9;27,95;11,17;17,26
67;"Torrefiel";15;152;68;67,25;67,56;59,37;59,85;54,99;49,32;51,6;23,19;11,5;11,98
68;"Sant Llorenç";15;153;68;42,82;36,86;36,6;32,9;38,84;35,13;33,5;16,14;5,84;15,78
69;"Benicalap";16;161;68;58,04;57,13;53,42;50,72;50,96;47,92;47,55;21,73;11,86;12,11
70;"Ciutat Fallera";16;162;68;63,77;41,43;51,49;50,88;41,98;50,53;42,49;19,01;12,03;10,71
71;"Benifaraig";17;171;68;11,88;23,98;16,94;10,9;17,77;30,6;27,96;5,06;1,01;4,03
72;"Poble Nou";17;172;68;49,62;27,04;37,56;48,98;54,18;47,22;44,32;11,05;16,59;12,11
73;"Carpesa";17;173;68;16,98;19,58;18,74;14,72;20,69;24,3;22,78;10,14;10,15;7,56
74;"Cases de Bàrcena";17;174;68;24,9;38,67;14,12;31,47;40;37,68;28,61;14,06;2,8;0
75;"Mauella";17;175;68;18,52;0;0;0;21,05;0;0;0;0;0
76;"Massarrojos";17;176;68;27,07;13,67;20,37;24,51;19,67;20,8;24,9;13,32;6,18;10,81
77;"Borbotó";17;177;68;5,53;14,09;30,96;38,86;36,26;29,41;36,19;16,43;2,71;6,81
78;"Benimàmet";18;181;68;39,13;42,43;36,45;44,61;42,12;39,42;38,08;19,59;8,24;9,27
79;"Beniferri";18;182;68;37,18;29,33;43,28;38,76;27,26;35,64;26,76;27,74;10,95;8,54
80;"el Forn d'Alcedo";19;191;68;19,8;25,81;24,5;43,77;31,24;29,97;51,81;26,92;7,14;7,03
81;"el Castellar-l'Oliverar";19;192;68;32,08;30,26;27,93;28,89;31,81;35,54;31,6;14,82;7,92;4,71
82;"Pinedo";19;193;68;40,67;35,28;36,61;40,86;30,27;34,42;32,34;10,13;7,43;7,7
83;"el Saler";19;194;68;62;54,71;36,92;53,47;63,85;71,53;67,85;34,08;13,43;15,3
84;"el Palmar";19;195;68;3,98;33,27;42,13;14,4;22,21;23,58;31,54;15,62;10,4;13,11
85;"el Perellonet";19;196;68;38,51;41,56;38,86;54,28;39,4;47,77;51,72;43,15;12,26;14,78
86;"la Torre";19;197;68;46,67;44,27;42,41;51,34;44,3;53,21;36,01;20,9;6,56;12,51
87;"Faitanar";19;198;68;95,3;51,13;88,09;107,84;115,13;113,13;101,74;28,1;15,01;10,07
