"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
57;"Camí Fondo";12;124;55;6,44;6,7;8,27;6,41;5,67;6,75;7,39;2,39;2,62;1,1
58;"Penya-roja";12;125;55;12,16;10,71;11,03;10,4;9,39;8,28;7,32;5,36;1,69;1,83
59;"l'Illa Perduda";13;131;55;7;7,61;7,07;5,72;8,1;5,48;5,06;3,93;0,82;1,53
60;"Ciutat Jardí";13;132;55;5,99;5,9;6,84;6,94;6,26;6,47;6,58;4,13;1,1;1,28
61;"l'Amistat";13;133;55;7,23;8,26;6,34;8,73;6,42;6,32;7,88;6,32;1,12;1,71
62;"la Bega Baixa";13;134;55;4,86;5,08;5,79;6,67;5,46;3,91;5,05;3,66;1,48;1,85
63;"la Carrasca";13;135;55;6,68;4,35;4,01;4,84;6,82;5,09;5,45;2,62;2,61;0,3
64;"Benimaclet";14;141;55;7,25;7,19;8,02;8,71;6,68;7,07;6,57;5,17;1,59;1,71
65;"Camí de Vera";14;142;55;7,04;7,58;5,36;5,92;5,71;9,21;8,12;5,19;1,49;0,95
66;"Orriols";15;151;55;7,34;8,43;10,05;7,72;7,92;8,8;9,39;6,67;1,37;1,45
67;"Torrefiel";15;152;55;9,65;9,18;8,82;8,96;7,83;8,1;7,32;5,14;1,25;1,31
68;"Sant Llorenç";15;153;55;14,93;13,66;10,09;10,56;8,53;6,62;8,42;4,01;1,55;1,64
69;"Benicalap";16;161;55;9,81;10,42;10,41;9,53;9,45;8,7;7,91;6,36;2;1,84
70;"Ciutat Fallera";16;162;55;7,09;8,56;7,58;9;7,26;6,53;8,05;3,9;1,69;1,87
71;"Benifaraig";17;171;55;6,93;7,99;9,97;11,89;6,91;4,94;4,99;3,03;1,01;2,01
72;"Poble Nou";17;172;55;5,77;2,35;10,56;7;6,92;8,99;7,76;9,94;1,11;2,2
73;"Carpesa";17;173;55;3,23;9,79;5,7;6,54;5,79;4,19;8,44;5,92;2,54;0,84
74;"Cases de Bàrcena";17;174;55;2,77;11,05;2,82;5,72;0;8,7;5,72;5,63;0;0
