"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
61;"l'Amistat";13;133;63;48,8;51,24;55,58;52,68;61,73;65,87;74,41;27,39;11,25
62;"la Bega Baixa";13;134;63;30,52;31,69;42,62;40,18;42,59;36,28;45,65;17,74;7,56
63;"la Carrasca";13;135;63;40,95;45,24;50,1;51,79;52,53;69,78;38,7;19,19;7,26
64;"Benimaclet";14;141;63;42,78;46,45;49,21;48,77;51,11;52,65;57,55;23,46;10,08
65;"Camí de Vera";14;142;63;23,52;33,47;28,85;33,5;34,46;38,13;36,17;12,97;8,56
66;"Orriols";15;151;63;45,47;50,89;58,92;54,74;72,04;81,48;85,56;35,64;13,8
67;"Torrefiel";15;152;63;36,36;40,67;42,78;46,77;49,23;49,24;52,06;24,66;6,55
68;"Sant Llorenç";15;153;63;28,78;26,66;28,11;24,4;28,27;27,04;29,11;14,96;5,84
69;"Benicalap";16;161;63;36,46;41,26;41,97;44,61;45,56;50,72;49,8;21,42;10,12
70;"Ciutat Fallera";16;162;63;35,26;41,6;46,33;48,97;62,02;47,1;57,74;25,63;8,81
71;"Benifaraig";17;171;63;8,91;17,98;15,94;24,78;28,63;17,77;11,98;13,15;9,11
72;"Poble Nou";17;172;63;31,16;54,09;37,56;39,65;61,1;68,58;46,54;20,99;9,96
73;"Carpesa";17;173;63;25,07;23,65;35,04;22,08;21,51;22,62;20,25;10,99;11,84
74;"Cases de Bàrcena";17;174;63;66,39;44,2;31,07;45,78;68,57;63,77;82,98;47,82;28,01
75;"Mauella";17;175;63;37,04;19,23;0;42,55;63,16;64,52;126,32;37,04;17,24
76;"Massarrojos";17;176;63;56,85;53,82;57,22;52,46;65,87;69,62;54,86;36,62;21,82
77;"Borbotó";17;177;63;29,03;12,68;38;20,82;20,92;36,41;32,01;36,96;2,71
78;"Benimàmet";18;181;63;37,99;41,66;43,82;39,72;47,7;57,64;54,94;22,96;10,41
79;"Beniferri";18;182;63;41,94;49,2;47,88;50,47;59,81;73,82;38,46;7,57;10,95
80;"el Forn d'Alcedo";19;191;63;20,59;32,26;31,03;28,9;38,64;43,74;46,23;26,13;4,76
81;"el Castellar-l'Oliverar";19;192;63;23,02;22,98;25,02;22,76;23,75;23,06;23,07;11,3;5,57
82;"Pinedo";19;193;63;30,69;34,51;29,67;27,63;37,34;21,12;31,56;12,86;5,87
83;"el Saler";19;194;63;32,72;29,69;40,43;54,05;58,72;45,47;60,85;26,74;13,43
84;"el Palmar";19;195;63;9,28;9,31;30,28;9,16;23,51;15,72;28,91;9,11;3,9
85;"el Perellonet";19;196;63;37,83;40,86;53,69;34,54;35,1;49,22;51,01;40,36;7,49
86;"la Torre";19;197;63;49,78;55,5;41,98;50,7;56,39;55,94;73,05;32,99;11,07
87;"Faitanar";19;198;63;68,61;77,29;110,93;82,35;87,46;80;97,38;35,46;20,89
