"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
57;"Camí Fondo";12;124;58;7,11;8,49;9,17;6,85;10,68;10,67;9,56;10,65;3,71;2,87
58;"Penya-roja";12;125;58;3,15;2,37;3,31;3,06;2,91;2,33;3,5;3,03;1,69;0,99
59;"l'Illa Perduda";13;131;58;10,27;10,33;9,92;9,61;10,04;11,2;8,74;7,99;2,33;2,48
60;"Ciutat Jardí";13;132;58;8,04;9,8;10,76;6,94;9,27;8,65;7,01;5,73;3,47;2,65
61;"l'Amistat";13;133;58;9,68;8,95;8,28;9,15;9,36;10,81;9,14;7,02;2,81;2,71
62;"la Bega Baixa";13;134;58;10,75;8,76;8,77;8,77;8,45;7,11;9,2;6,58;3,13;2,41
63;"la Carrasca";13;135;58;7,84;2,32;6,01;7,97;5,68;3,39;6,59;4,94;3,19;0,91
64;"Benimaclet";14;141;58;7,97;9,15;8,57;8,37;8,25;8,35;6,96;6,97;3,28;2,37
65;"Camí de Vera";14;142;58;5,56;4,07;6,47;7,22;4,98;7,55;5,91;6,11;2,61;1,51
66;"Orriols";15;151;58;8,14;9,93;8,49;8,34;11,02;8,86;8;5,6;2,15;2,84
67;"Torrefiel";15;152;58;6,78;7,74;7,74;7,35;8,1;7,83;7,63;7,34;3,37;2,61
68;"Sant Llorenç";15;153;58;2,95;2,6;2,92;3,18;2,97;3,59;3,2;2,1;1,64;0,73
69;"Benicalap";16;161;58;6,77;7,19;7,01;7,32;7,26;7,32;7,03;5,11;2,89;2,29
70;"Ciutat Fallera";16;162;58;5,74;7,53;6,72;9,17;8,47;10,31;7,54;4,92;3,39;1,7
71;"Benifaraig";17;171;58;10,89;8,99;7,97;8,92;10,86;11,85;11,98;8,09;4,05;2,01
72;"Poble Nou";17;172;58;10,39;10,58;14,08;16,33;9,22;5,62;4,43;6,63;2,21;2,2
73;"Carpesa";17;173;58;7,28;10,6;8,15;12,26;9,1;8,38;6,75;7,61;2,54;3,36
74;"Cases de Bàrcena";17;174;58;11,07;11,05;16,95;8,58;20;17,39;8,58;8,44;0;0
75;"Mauella";17;175;58;37,04;0;0;21,28;21,05;43,01;0;0;17,24;0
76;"Massarrojos";17;176;58;10,83;7,06;8,24;6,45;8,98;11,46;8,86;8,74;2,88;1,2
77;"Borbotó";17;177;58;17,97;16,91;15,48;15,27;13,95;5,6;5,57;10,95;10,83;1,36
78;"Benimàmet";18;181;58;7,96;7,81;6,9;6,75;8,13;7,04;8,13;6,43;1,8;2,62
79;"Beniferri";18;182;58;7,63;4,73;6,45;3,61;3,52;2,55;4,18;0,84;1,68;1,71
80;"el Forn d'Alcedo";19;191;58;8,71;9,68;8,17;9,91;10,69;10,53;15,15;7,92;3,97;0,78
81;"el Castellar-l'Oliverar";19;192;58;8,92;9,16;9,75;10,8;10,26;9,84;8,67;6,9;2,93;2,65
82;"Pinedo";19;193;58;9,98;10,86;8,86;9,34;10,61;4,69;10,13;10,52;3,91;3,85
83;"el Saler";19;194;58;2,87;5,82;4,1;3,49;6,84;7,21;5,39;3,67;2,07;1,58
84;"el Palmar";19;195;58;6,63;5,32;17,12;1,31;13,06;14,41;18,4;11,72;7,8;2,62
85;"el Perellonet";19;196;58;8,25;4,93;7,77;6,34;12,18;2,9;5,75;5,57;2,04;0,67
86;"la Torre";19;197;58;12,44;11,23;7,28;9,2;9,75;8,62;6,62;6,76;3,28;2,05
87;"Faitanar";19;198;58;5,08;7,13;3,26;5,88;8,03;3,23;3,63;5,35;1,31;0,63
