"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
57;"Camí Fondo";12;124;56;26,84;27,99;35,07;27,2;24,03;28,84;32,14;10,51;11,47;4,99
58;"Penya-roja";12;125;56;47,54;42,23;43,84;41,74;38,14;34,07;30,44;22,5;7,14;7,81
59;"l'Illa Perduda";13;131;56;30,77;33,98;32,24;26,74;38,16;25,76;23,85;18,72;3,91;7,35
60;"Ciutat Jardí";13;132;56;26,46;26,93;31,86;32,52;29,56;31,1;31,82;19,87;5,28;6,22
61;"l'Amistat";13;133;56;31,56;36,78;28,67;39,77;29,02;28,25;35,34;28,35;5,03;7,53
62;"la Bega Baixa";13;134;56;21,5;22,79;26,1;30,34;24,94;17,92;23,38;17,17;6,99;8,94
63;"la Carrasca";13;135;56;28,17;18,53;17,25;21;29,56;22,02;24,08;11,76;11,72;1,42
64;"Benimaclet";14;141;56;29,4;29,55;33,31;36,58;28,32;30,11;28,08;21,95;6,75;7,28
65;"Camí de Vera";14;142;56;29,51;32,62;23,49;26,34;25,76;42,14;38;24,57;7,06;4,48
66;"Orriols";15;151;56;32,03;37,28;45,07;35,02;35,55;38,65;40,86;29,17;6,03;6,41
67;"Torrefiel";15;152;56;40,07;38,55;37,48;38,69;34,14;35,58;32,29;22,62;5,48;5,74
68;"Sant Llorenç";15;153;56;54,57;50,81;38,22;40,9;33,79;26,5;34,02;16,46;6,41;6,87
69;"Benicalap";16;161;56;39,02;41,99;42,32;39,06;39,27;36,45;33,37;27,06;8,55;7,93
70;"Ciutat Fallera";16;162;56;29;35,27;31,8;38,31;31,07;27,98;34,38;16,63;7,26;8,07
71;"Benifaraig";17;171;56;33,49;38,28;47,96;58,54;34,15;24,27;24,69;14,93;4,93;9,8
72;"Poble Nou";17;172;56;25,38;10,58;49,05;32,52;31,41;39,7;33,98;43,9;4,93;9,9
73;"Carpesa";17;173;56;14,84;45,63;27,34;32,13;28,99;21,1;43,2;30,97;13,33;4,5
74;"Cases de Bàrcena";17;174;56;13,61;57,14;14,93;30,77;0;48,78;32,26;30,3;0;0
75;"Mauella";17;175;56;100;0;111,11;0;181,82;0;0;0;0;0
76;"Massarrojos";17;176;56;32,7;47,14;29,04;34,83;22,35;16,81;24,34;16,78;14,84;1,81
77;"Borbotó";17;177;56;54,42;28,57;70,18;20,34;41,38;50;50,91;28,27;13,7;13,79
78;"Benimàmet";18;181;56;37,44;36,82;33,55;35,66;31,15;38,72;42,37;23,99;5,53;7,19
79;"Beniferri";18;182;56;38,94;36,5;50,36;46,1;62,94;58,32;34,84;25,09;0;3,86
80;"el Forn d'Alcedo";19;191;56;28,67;3,64;26,27;35,02;35,23;30,77;45,28;18,69;11,28;14,65
81;"el Castellar-l'Oliverar";19;192;56;33,48;36,1;44,25;35,42;31,26;25,68;23,14;23,75;7,68;3,52
82;"Pinedo";19;193;56;28,01;40,96;33,19;30,63;29,6;45,16;28,57;22,81;3,8;7,49
83;"el Saler";19;194;56;17,37;28,42;18,45;45,64;40,27;23,53;28,46;20,43;5,05;7,75
84;"el Palmar";19;195;56;37,04;18,69;18,63;37,62;57,14;32,57;81,08;40;0;20
85;"el Perellonet";19;196;56;27,36;15,75;38,28;42,98;31,47;46,35;24,6;10,26;3,39;3,38
86;"la Torre";19;197;56;37,46;37,68;28,25;36,8;30,69;44,97;34,07;27;7,5;5,66
87;"Faitanar";19;198;56;69,11;56,39;47,38;61,44;68,47;57,14;36,82;38,26;12,58;10,14
