"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
62;"la Bega Baixa";13;134;64;38,07;32,6;35,8;40,61;42,56;40,2;51,78;49,48;60,98
63;"la Carrasca";13;135;64;37,59;58,33;51,43;67,58;49,73;58,3;62,22;34,85;44
64;"Benimaclet";14;141;64;45,29;41,06;40,52;44,19;48,76;47,33;52,54;49,54;49,57
65;"Camí de Vera";14;142;64;27,56;34,81;28,85;34,25;31,02;41,55;40,82;40;45,65
66;"Orriols";15;151;64;63,26;60,49;55,19;54,61;62,46;67,82;74,05;73,75;72,73
67;"Torrefiel";15;152;64;46,59;44,88;46,38;44,57;48,41;57,07;66,25;64,42;52,02
68;"Sant Llorenç";15;153;64;28,67;23,83;20,47;22,22;26,56;37,41;37,74;33,54;28,12
69;"Benicalap";16;161;64;41,24;40,63;42,47;44,81;48,42;55,84;55,77;59,06;45,24
70;"Ciutat Fallera";16;162;64;52,15;46,09;52,42;42,76;58,22;59,49;63,5;74,83;65,38
71;"Benifaraig";17;171;64;33,33;11,11;6,25;12;34,48;11,11;33,33;23,08;33,33
72;"Poble Nou";17;172;64;29,63;47,83;37,5;50;54,72;45,9;64,29;63,16;22,22
73;"Carpesa";17;173;64;16,13;13,79;20,93;14,81;19,23;44,44;37,5;38,46;7,14
74;"Cases de Bàrcena";17;174;64;75;50;54,55;25;62,5;68,18;41,38;64,71;50
75;"Mauella";17;175;64;50;0;NA;50;0;0;33,33;0;0
76;"Massarrojos";17;176;64;15,08;26,23;25;19,67;42,21;22,56;20;18,18;24,53
77;"Borbotó";17;177;64;38,1;44,44;40,74;46,67;20;30,77;39,13;29,63;0
78;"Benimàmet";18;181;64;38,1;30,98;31,86;39,26;43,18;48,74;50,14;52,77;52,52
79;"Beniferri";18;182;64;31,82;51,92;25;32,14;51,47;54,02;39,13;22,22;30,77
80;"el Forn d'Alcedo";19;191;64;30,77;35;34,21;48,57;65,96;42,59;62,07;48,48;33,33
81;"el Castellar-l'Oliverar";19;192;64;30,62;52,53;34,88;24,36;40,74;47,77;48,41;50,65;21,05
82;"Pinedo";19;193;64;38,75;30,34;44,16;29,58;45,26;44,44;40,74;36,36;40
83;"el Saler";19;194;64;22,81;35,29;23,19;27,96;42,72;53,66;54,87;52,94;46,15
84;"el Palmar";19;195;64;0;42,86;17,39;14,29;22,22;58,33;22,73;71,43;0
85;"el Perellonet";19;196;64;32,73;5,17;18,42;20,41;18,37;20,59;45,07;50;27,27
86;"la Torre";19;197;64;48,33;46,56;43,88;42,19;51,13;59,77;64,31;64,6;48,15
87;"Faitanar";19;198;64;22,22;24,62;25,49;22,62;18,37;28,28;39,55;33,96;31,25
