"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
43;"en Corts";10;102;3;-2,29;-0,79;0,04;-0,57;-0,87;-0,31;0,28;-0,97;0,41;0,46;-0,02;-0,31;-0,32
44;"Malilla";10;103;3;-0,83;-1,62;-0,39;-0,73;-0,45;-0,48;0,46;0,28;0,25;-0,62;0,01;0,71;0,85
45;"Fonteta de Sant Lluís";10;104;3;-0,54;-2,88;0,13;-3,91;-3,32;-0,21;-0,5;3,35;1,45;0,24;2,78;-1,22;1,5
46;"na Rovella";10;105;3;-1,34;-3,4;-1,55;-1,45;-0,46;-1,74;0,06;-0,84;-0,19;-0,76;-0,14;-1,95;-1,46
47;"la Punta";10;106;3;-1,37;4,02;5,02;1,05;6,11;4,5;2,54;-0,46;1,3;-1,55;3,38;2,42;0,47
48;"Ciutat de les Arts i les Ciències";10;107;3;1,03;0,69;0,24;1,2;3,17;5,19;3,5;2,41;1,96;1,89;5,74;0,91;2,18
49;"el Grau";11;111;3;1,42;-1,11;-0,83;-0,46;-0,38;0,17;-0,07;-1,75;1,61;-0,82;-0,46;0,66;0,72
50;"el Cabanyal-el Canyamelar";11;112;3;-0,8;-0,32;0,41;-0,42;-1,36;-0,17;-0,25;-1,58;-0,15;-3,19;-0,71;-0,17;-0,65
51;"la Malva-rosa";11;113;3;-0,45;-1,76;-0,54;-1,59;-1,07;-0,5;-0,49;-2,18;0,24;-1,76;-0,16;-0,05;-0,65
52;"Beteró";11;114;3;-2,05;-1,01;-0,5;-1,13;-0,05;0;0,37;-1,03;0,12;-0,57;-0,52;0;-1,14
53;"Natzaret";11;115;3;-2,12;-2,25;-2,97;-2,99;-2,78;-1,54;-0,43;-1,34;2;-1,33;2,1;0,2;-0,67
54;"Aiora";12;121;3;-0,86;-0,54;-0,21;-0,93;-1,47;-0,3;0,23;0,05;0,37;-0,81;-0,08;-0,26;-1,37
55;"Albors";12;122;3;-1,33;-1,63;-1,28;-0,61;-1,34;-0,29;0,61;-0,23;1,08;0,37;0,02;-0,55;-0,21
56;"la Creu del Grau";12;123;3;-0,44;-1,53;-0,88;0,48;-1,06;0,15;0,41;-0,95;1,16;-1,62;0,76;-0,34;-0,83
57;"Camí Fondo";12;124;3;-1,08;-1,52;0,04;-1,76;-0,95;-0,25;0,2;2,14;0,57;-0,28;0,63;-0,74;-1,11
58;"Penya-roja";12;125;3;5,04;1,16;1,59;1,47;1,74;3,4;3,47;2,12;1,84;-0,39;2,55;2,27;0,79
59;"l'Illa Perduda";13;131;3;-1,35;-2,26;-0,39;-1,29;-0,37;-0,71;-0,22;-0,49;1,11;-1,37;0,09;-1,37;-1,25
60;"Ciutat Jardí";13;132;3;-1,81;-2,96;-1,03;-2,01;-2,15;-0,22;-0,62;0,08;0,34;-1,58;0,65;-0,5;-1,22
61;"l'Amistat";13;133;3;-2,23;-2,34;-0,12;-2,27;-1,72;-0,32;0,04;-1,08;-0,39;-0,71;0,41;-0,14;-1,41
62;"la Bega Baixa";13;134;3;-1,67;-2,16;-0,25;-1,06;-1,38;-0,56;0,25;-0,35;-0,25;-1,81;-1,08;-1,61;-0,5
63;"la Carrasca";13;135;3;-0,39;-1,49;-2,14;0,91;-0,64;0,93;1,67;-0,45;0,88;0,14;-3,05;0,29;-4,01
64;"Benimaclet";14;141;3;-1,03;-1,57;-1,27;-1,41;-0,52;-0,31;1,04;-0,27;0,06;-1,43;-0,19;-0,25;-1,83
65;"Camí de Vera";14;142;3;-2,23;-1,02;-1,44;-0,52;0,04;0,3;-0,3;0,13;0,74;-0,64;0,24;-1;-1,6
66;"Orriols";15;151;3;-3,45;-2,82;-1,51;-2,39;-3,04;-0,9;0,97;-0,5;1,74;0,77;2,41;-0,45;-1,03
67;"Torrefiel";15;152;3;-0,61;-1,25;0,12;-0,55;-1,21;0,42;0,82;0,3;1,13;-0,24;0,67;-0,05;-1,5
68;"Sant Llorenç";15;153;3;2,94;0,36;1,24;2,5;1,72;2,42;1,65;0,17;1,52;0,08;0,85;-0,13;0,05
69;"Benicalap";16;161;3;0,33;0,49;0,93;0,45;-0,44;1,02;1,26;0,68;1,52;0,97;1,54;-0,13;0,93
70;"Ciutat Fallera";16;162;3;-3,13;-3,58;-1,28;-2,18;-1,11;-1,82;0,64;-1,6;1,97;-0,92;1,59;0,32;-0,3
71;"Benifaraig";17;171;3;-0,68;0,1;-0,2;0,39;-2,25;0,4;0,1;1;-0,2;0,2;-2,47;-0,1;0,51
72;"Poble Nou";17;172;3;-3,7;-3,34;-7,32;-1,13;-2,17;-1,52;1,9;-0,58;2,92;2,16;0,78;-0,22;0,44
73;"Carpesa";17;173;3;0,39;-1,08;-1,17;-1,89;-1,37;-0,33;0,49;-1,14;-1,23;-1,25;-0,17;-0,17;0,76
74;"Cases de Bàrcena";17;174;3;-4,27;-1,57;-3,2;0;-0,83;1,11;-5,49;3,2;-2,82;0;2,61;0,85;1,68
75;"Mauella";17;175;3;-3,03;-6,25;-3,33;-3,45;-7,14;0;-9,62;0;2,13;-6,25;11,11;16;-1,72
76;"Massarrojos";17;176;3;3,9;2,33;0;1,72;2,51;2,05;1,48;0,13;0,95;0,55;0,64;2,19;2,84
77;"Borbotó";17;177;3;0,13;0;-0,94;-1,35;-1,51;-2,37;2,71;0,14;-1,11;0,28;0,98;2,35;-0,68
78;"Benimàmet";18;181;3;-0,04;-1,16;-0,35;-0,5;-1,18;-0,62;-0,06;-0,02;0,42;1,89;1,53;-0,24;0,13
79;"Beniferri";18;182;3;5,23;4,44;1,42;5,19;-0,95;2,49;2,99;1,36;3,58;3,72;-0,67;-0,42;-1,35
80;"el Forn d'Alcedo";19;191;3;-3,41;-0,23;-3,92;0,24;-2,58;-0,96;-1,54;-0,66;1,57;1,39;1,85;-0,47;1,67
81;"el Castellar-l'Oliverar";19;192;3;-0,37;-0,07;-0,78;0,36;-1,95;-0,25;0,22;-0,78;-0,15;-0,25;0,13;0,18;-0,34
82;"Pinedo";19;193;3;-0,08;2,25;1,01;-2,55;-2,39;0,31;0,93;-2,84;0,87;0,16;0,59;-0,66;1,56
83;"el Saler";19;194;3;0,68;-0,34;-0,56;-0,45;-1,71;-1,04;-0,29;1,94;1,96;3,67;2,29;3,09;-2,12
84;"el Palmar";19;195;3;-1,03;-3;0,54;1,07;-0,4;-0,4;2,53;-1,3;1,71;-2,2;1,59;0,26;-0,78
85;"el Perellonet";19;196;3;-0,56;-1,57;-2,16;-4,36;-2,18;-2,57;2,07;-1,61;-1,56;-0,51;2,03;4,41;1,36
86;"la Torre";19;197;3;-2,93;4,1;-4,07;-0,12;-3;-1,14;-1,09;1,36;0,49;1,1;2,13;-0,1;0
87;"Faitanar";19;198;3;3,65;-59,39;265,9;18,8;9,31;4,62;13,84;8,38;11,22;9,75;12,51;5,15;3,72
