"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
44;"Malilla";10;103;75;480,38;479,79;484,39;474,61;471,3;462,66;456,07;453,13;452,56;453,56;457,96;461,02;460,41;457,44
45;"Fonteta de Sant Lluís";10;104;75;456,77;450,94;473,51;465,99;474,35;471,88;464,73;468,83;453,98;446,48;456,95;452,18;462,44;491,12
46;"na Rovella";10;105;75;418,06;411,53;463,48;454,42;449,32;435,31;430,96;422,52;427,88;428,7;434,68;432,85;446,03;439,52
47;"la Punta";10;106;75;481,59;473,43;455,13;425,5;432,35;402,13;385,61;375,29;399,62;409,98;438,72;438,13;443,76;468,76
48;"Ciutat de les Arts i les Ciències";10;107;75;411,13;411,95;377,3;358,38;376,5;364,11;354,26;346,66;353,82;362,19;378,58;361,77;371,26;362,43
49;"el Grau";11;111;75;399,94;387,15;386,41;385,04;383,78;379,54;371,75;368,76;379,93;378,77;382,02;383,66;387,5;383,46
50;"el Cabanyal-el Canyamelar";11;112;75;382,11;377,03;377,41;367,19;363,56;357,43;352,9;352,46;359,59;358,69;370,57;373,21;384,8;388
51;"la Malva-rosa";11;113;75;424,42;419,03;426,04;416,88;417,55;408,95;405,82;408,71;420,04;423,07;432,51;435,54;437,33;434,26
52;"Beteró";11;114;75;421,8;423,41;435,85;425,1;431,22;422,66;414,52;411,27;419,78;407,22;430,03;427,03;410,21;412,03
53;"Natzaret";11;115;75;386,34;388,9;408,27;405,91;409,41;414,3;410,73;405,04;412,23;414,53;418,29;421,12;422,58;414,26
54;"Aiora";12;121;75;391,46;388,59;390,13;381,07;380,2;376,14;365,89;362,57;366,65;369,48;376,14;379,25;382,9;386,8
55;"Albors";12;122;75;388,56;384,42;405,91;394,26;386,64;384,47;381,06;374,58;377,07;377,63;381,95;386,65;390,61;393,37
56;"la Creu del Grau";12;123;75;389,17;383,94;388,02;381,53;376,16;371,02;365,55;361,11;364,44;367,1;379,2;375,14;380,89;386,73
57;"Camí Fondo";12;124;75;386,33;379,84;383,96;373,37;397,97;391,29;376,59;375,17;369,04;383,91;383,26;393,2;399,83;406,75
58;"Penya-roja";12;125;75;394,49;383,5;303,46;305,16;325,73;328,18;327,84;323,35;327,75;336,76;347,19;343,49;348,69;350,22
59;"l'Illa Perduda";13;131;75;435,58;432,97;452,96;440,49;442,53;431,17;426,41;423,34;421,52;419,04;422,8;421,15;421,75;422,82
