"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
45;"Fonteta de Sant Lluís";10;104;77;8,6;8,8;9,3;9,8;10,4;10,8;11,4;12;12,3;12,6;12,6;12,7;13,1;13,13
46;"na Rovella";10;105;77;10;10,4;11,2;11,6;12,2;12,7;13,2;13,8;14,3;14,5;14,8;15;15,3;15,68
47;"la Punta";10;106;77;9,7;10,2;10,2;10,5;10,9;11,3;11,5;11,7;12,1;12,2;12,1;12,2;12,5;13,01
48;"Ciutat de les Arts i les Ciències";10;107;77;6,7;7;7,3;7,8;8,3;8,7;9,2;9,4;9,6;9,5;9,6;9,7;9,8;10,24
49;"el Grau";11;111;77;8,3;8,6;9;9,4;10;10,4;10,8;11,2;11,4;11,7;11,9;12;12,3;12,73
50;"el Cabanyal-el Canyamelar";11;112;77;9,5;9,8;10,3;10,7;11,2;11,6;12,1;12,6;12,9;13,1;13,2;13,4;13,6;14,06
51;"la Malva-rosa";11;113;77;8,7;9;9,5;10;10,5;11;11,4;11,7;12;12,3;12,5;12,7;13,1;13,53
52;"Beteró";11;114;77;8;8,2;8,7;9,2;9,7;10,2;10,7;11;11,2;11,5;11,5;11,8;12,1;12,48
53;"Natzaret";11;115;77;9,7;10,1;10,7;11,1;11,6;12,1;12,8;13,3;13,7;14;14,2;14,4;14,7;15,28
54;"Aiora";12;121;77;8,5;8,8;9,4;9,8;10,3;10,8;11,2;11,4;11,7;11,9;12;12,2;12,6;12,9
55;"Albors";12;122;77;8,8;9,1;9,6;9,9;10,4;10,9;11,3;11,5;11,7;11,9;12;12,1;12,5;12,99
56;"la Creu del Grau";12;123;77;8,7;9,1;9,6;10,1;10,4;10,9;11,4;11,7;11,9;12;12,2;12,3;12,7;13,06
57;"Camí Fondo";12;124;77;8,1;8,5;9,1;9,6;9,8;10,3;10,7;9,9;10,7;10,1;11,2;11,2;11,4;12,13
58;"Penya-roja";12;125;77;6,5;6,9;6,8;7,3;7,7;8,1;8,5;8,7;8,9;9;9,1;9,3;9,6;9,93
59;"l'Illa Perduda";13;131;77;8,1;8,4;9;9,5;10;10,5;10,8;11,1;11,4;11,5;11,8;11,9;12,2;12,57
60;"Ciutat Jardí";13;132;77;8,4;8,6;9,2;9,6;10;10,4;10,7;11,1;11,2;11,4;11,6;11,9;12,2;12,57
61;"l'Amistat";13;133;77;9,1;9,4;9,8;10,3;10,7;11,1;11,5;11,8;12,1;12,4;12,7;12,8;13,1;13,51
62;"la Bega Baixa";13;134;77;8,2;8,4;8,9;9,2;9,6;10,1;10,4;10,7;11;11,2;11,3;11,5;11,7;12,09
63;"la Carrasca";13;135;77;7,8;8,2;8,6;9;9,4;10;10,4;10,8;11,1;11,1;11,5;11,6;12;12,15
64;"Benimaclet";14;141;77;8,5;8,7;9;9,5;10;10,4;10,7;11;11,2;11,4;11,5;11,7;11,8;12,36
65;"Camí de Vera";14;142;77;7,8;8;8,5;9;9,4;9,7;10,1;10,5;10,6;10,8;11;11,1;11,3;11,74
66;"Orriols";15;151;77;9;9,4;9,8;10,3;10,9;11,4;12;12,3;12,6;12,9;13,1;13,2;13,5;13,91
67;"Torrefiel";15;152;77;8,5;8,8;9,3;9,8;10,4;10,8;11,3;11,7;12;12,2;12,2;12,3;12,7;12,98
68;"Sant Llorenç";15;153;77;7,1;7,2;7,3;7,8;8,1;8,5;8,9;9,2;9,2;9,6;9,7;9,7;10;10,43
69;"Benicalap";16;161;77;8,1;8,4;8,8;9,4;9,8;10,3;10,6;10,9;11,1;11,4;11,5;11,6;11,8;12,18
70;"Ciutat Fallera";16;162;77;8,9;9,1;9,6;10,2;10,7;11,1;11,6;12;12,4;12,7;12,9;13,1;13,4;13,77
71;"Benifaraig";17;171;77;7,9;8,2;8,7;9;9,6;10,1;10,3;10,6;10,8;11,2;11,5;11,4;11,7;12
72;"Poble Nou";17;172;77;9,7;10;10,5;10,9;11,2;11,6;11,7;12,3;12,6;13;13;13,4;13,9;14,42
73;"Carpesa";17;173;77;8,5;8,8;9,2;9,5;10,2;10,6;10,9;11,2;11,5;11,6;12,1;12,4;12,6;13,04
74;"Cases de Bàrcena";17;174;77;7,9;8,8;9,5;10,3;10,4;10,9;11,5;11,9;12,6;12,8;13,5;13,1;13,7;14,51
75;"Mauella";17;175;77;10,3;10,2;10,6;9,7;10,4;9,6;10,4;9,8;10,8;11,9;11,3;13;12,8;11,87
76;"Massarrojos";17;176;77;6,9;7,1;7,4;7,8;8,2;8,6;9,1;9,3;9,6;9,8;9,6;9,8;9,9;10,09
77;"Borbotó";17;177;77;8,6;8,5;8,9;9,2;9,7;10,4;10,8;11;11,5;11,8;11,9;12,3;12,5;12,72
78;"Benimàmet";18;181;77;8,3;8,6;9,2;9,7;10,3;10,8;11,3;11,7;11,9;12,2;12,3;12,4;12,8;13,14
79;"Beniferri";18;182;77;7,2;7,5;7,4;7,9;8;8,7;8,9;9;9,2;9,1;9,2;9,6;9,9;9,91
80;"el Forn d'Alcedo";19;191;77;6,9;8;8,4;9,1;9,5;9,8;9,8;9,1;10,2;9,7;10,3;10,3;11,1;11,56
81;"el Castellar-l'Oliverar";19;192;77;8,4;8,7;9;9,5;9,9;10,4;10,7;11,1;11,5;11,6;11,8;11,9;12,2;12,68
82;"Pinedo";19;193;77;8,5;8,7;9,5;9,8;10,2;10,5;11,1;11,6;11,8;11,9;12;12,2;12,5;12,75
83;"el Saler";19;194;77;7,9;8,4;9;9,5;9,8;10,1;10,4;10,5;10,8;10,7;10,8;10,6;11;11,54
84;"el Palmar";19;195;77;7,6;8,1;8,6;9;9,6;9,8;10,2;10,5;10,6;10,5;10,5;10,5;10,9;10,92
85;"el Perellonet";19;196;77;7,5;8;8,5;9,1;9,6;10;10,4;10,8;11,2;11,4;11,4;11,6;12;12,44
86;"la Torre";19;197;77;8,7;9;9,5;10;10,5;11;11,5;11,8;12,2;12,5;12,8;12,9;13,2;13,44
87;"Faitanar";19;198;77;8,3;8,4;9,3;9,5;9,3;10,1;10,6;10,4;10,3;10;9,7;10;9,5;10,04
