"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
45;"Fonteta de Sant Lluís";10;104;79;57,53;61,04;65,48;65,4;69,43;71,81;72,31;75,88;74,11;71,02;73,22;74,87;77,8;82,89
46;"na Rovella";10;105;79;43,1;43,46;53,34;53,7;56,09;56,47;54,95;54,04;54,25;54,48;54,13;55,87;58,81;59,42
47;"la Punta";10;106;79;78,85;79,46;86,98;84,14;88,03;82,14;80,95;81,62;88,51;85,1;87,98;84,36;88,9;94,26
48;"Ciutat de les Arts i les Ciències";10;107;79;78,9;82,77;72,06;69,99;76,96;75,75;74,35;76,06;72,8;76,89;79,15;79,95;82,81;84,04
49;"el Grau";11;111;79;67,44;65,87;64,54;65,5;67,58;67,94;68,04;70,72;73,48;74,85;76,74;76,13;75,1;76,15
50;"el Cabanyal-el Canyamelar";11;112;79;57,77;58,62;62,16;61,91;61,83;62,63;63,57;64,22;68,77;68,77;72,58;74,18;75,9;79,06
51;"la Malva-rosa";11;113;79;55,71;56,46;59,82;59,86;62,65;62,52;61,72;64,71;66,61;68,8;69,73;69,69;70,5;72,05
52;"Beteró";11;114;79;52,61;53,23;56,92;56,84;57,37;58,88;59,38;62,23;65,74;60,82;65,91;67,39;66,13;69,94
53;"Natzaret";11;115;79;44,81;45,92;50,7;50,41;52,28;53,61;53,63;54,19;56,95;57,15;60,42;63,59;64,77;64,39
54;"Aiora";12;121;79;52,36;54,32;56,52;56,48;58,42;58,45;58,35;59,77;60,3;60,99;65,77;67,71;69,57;71,52
55;"Albors";12;122;79;57,73;60,82;70,34;70,12;71,23;71,39;72,99;71,62;72,94;74,91;76,23;78,26;82,02;83,45
56;"la Creu del Grau";12;123;79;45,95;46,81;50,46;51,37;51,53;51,74;52,61;53,53;55,6;57,85;60,16;62,14;63,37;65,26
57;"Camí Fondo";12;124;79;57,79;60,56;58,67;57,34;60,58;61,83;63,33;65,65;68,21;78,26;87,2;88,39;87,08;106,82
58;"Penya-roja";12;125;79;69,25;69,14;56,18;56,41;61,5;62,67;62,94;63,58;64,47;66,44;75,16;84,28;85,02;79,4
59;"l'Illa Perduda";13;131;79;52,99;55,77;60,28;59,84;62,32;61,53;62,77;63,93;63,56;65,81;69,37;70,8;69,81;71,98
60;"Ciutat Jardí";13;132;79;59,2;61,67;69,93;69,22;70,16;71,54;69,78;70,05;71,17;72,67;73,41;73,86;74,82;76,6
61;"l'Amistat";13;133;79;45,6;47,28;55,01;52,7;52,71;53,91;53,11;56,4;60,22;60,59;62,72;61,62;65,36;66,72
62;"la Bega Baixa";13;134;79;67,69;69,67;81,58;79,91;83,18;83,46;84,11;85,65;89,12;91,1;96,91;95,97;101,24;103,97
63;"la Carrasca";13;135;79;60,59;59,42;68,04;70,11;72,38;74,88;75,92;73,54;77,58;86,51;80,75;83,28;84,49;83,48
64;"Benimaclet";14;141;79;52,49;54,98;59,56;59,83;61,95;61,34;62,64;64,23;67,03;67,04;68,82;70,85;73,39;77,09
65;"Camí de Vera";14;142;79;59,59;63,11;63,4;63,58;63,91;62,22;60,38;60;61,77;67,19;69,66;73,36;75,22;77,01
66;"Orriols";15;151;79;33,38;34,57;41,48;43,17;44,47;45,99;45,41;48,82;50,69;47,74;49,02;49,47;52,92;54,62
67;"Torrefiel";15;152;79;50,45;51,14;54,35;53,75;54,86;55,61;55,53;56,78;57,68;59,25;62,32;63,27;64,59;66,61
68;"Sant Llorenç";15;153;79;65,64;67,27;54,69;56,05;58,65;57,95;60,1;58,19;60,52;66,88;70,32;72,01;71,64;73,61
69;"Benicalap";16;161;79;49,74;50,5;49,1;48,6;50,15;50,38;50,63;53,08;55,36;56,84;58,33;59,9;61,66;63,63
70;"Ciutat Fallera";16;162;79;41,31;42,49;49,41;48,08;49,99;53,1;54,77;56,82;58,79;60,56;64,93;65,44;64,22;65,43
71;"Benifaraig";17;171;79;65,3;64,77;61,76;59,92;65,56;66,07;71,78;73,71;79,88;83,99;86,79;92,01;96,15;105,74
72;"Poble Nou";17;172;79;92,5;88,98;104,6;106,09;108,45;105,02;103,08;98,84;108,77;103,41;105,67;109,27;110,62;113,44
73;"Carpesa";17;173;79;69,61;70,11;65,42;70,13;73,09;77,36;80,88;83,74;86,35;95,75;106,24;112,33;112,52;115,87
74;"Cases de Bàrcena";17;174;79;75,38;78,74;72;68,87;57,85;58,33;54,95;69,77;61,97;69,57;69,57;96,05;86,83;60,61
75;"Mauella";17;175;79;15,15;15,62;0;0;0;0;19,23;21,28;63,83;62,5;44,44;60;86,21;105,26
76;"Massarrojos";17;176;79;72,13;78,46;55,76;55,3;63,5;65,06;72,49;76,16;78,21;90,25;98,22;102,23;107,04;110,89
77;"Borbotó";17;177;79;80,54;77,75;69,71;71,72;75,45;79,39;79,89;76,39;80,44;84,15;88,11;90,03;93,37;91,28
78;"Benimàmet";18;181;79;54,22;55,59;55,26;54,69;57,1;58,47;58,84;60,27;62,15;63,9;65,75;67,22;69,85;70,06
79;"Beniferri";18;182;79;81,2;81,4;54,66;52,89;59,77;63,22;68,22;71,69;75,2;76,06;70,83;79,7;82,56;81,98
80;"el Forn d'Alcedo";19;191;79;84,91;72,13;83,58;83,86;77,4;76,24;79,42;82,3;85,34;83,2;81,26;88,47;95,24;103,04
81;"el Castellar-l'Oliverar";19;192;79;62,28;66,19;69,22;69,62;69,52;69,88;71,51;73,39;77,05;79,65;81,18;81,95;84,88;86,64
82;"Pinedo";19;193;79;65,19;66,01;62,69;59,48;64,44;67,18;72,01;70,96;75,8;75,54;79,72;82,36;87,6;93,95
83;"el Saler";19;194;79;82,53;83,1;65,35;65,16;67,16;71,8;74,31;71,01;76,57;82,44;77,34;74,01;72,83;75,99
84;"el Palmar";19;195;79;37,42;43,02;55,11;50,8;51,59;54,45;54,67;57,22;54,02;56,99;54,3;57,37;62,42;61,6
85;"el Perellonet";19;196;79;77,26;80,2;61,74;62,46;64,63;68,85;74,95;70,63;73,92;80,14;81,28;86,06;81,74;84,68
86;"la Torre";19;197;79;53,4;55,83;53,44;56,11;57,81;57,92;60,72;57,08;58,22;60,9;61,08;62,26;60,68;64,37
87;"Faitanar";19;198;79;99,76;100,94;242,77;55,29;49,2;57,18;34,88;55,16;55,61;42,37;40,15;40,49;49,61;46,57
