"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
61;"l'Amistat";13;133;38;4,06;4,11;4,54;4,39;4,65;3,99;3,82;3,91;4,01
62;"la Bega Baixa";13;134;38;2,79;2,91;3,01;2,44;2,84;2,58;2,94;2,82;2,95
63;"la Carrasca";13;135;38;3,09;3,26;4;4,16;4,58;4,32;4,16;3,92;3,36
64;"Benimaclet";14;141;38;4,03;4,27;4,58;4,38;4,8;4,18;4,2;4,24;4,34
65;"Camí de Vera";14;142;38;2,3;2,47;2,57;2,66;2,68;2,22;2,06;2,01;2,21
66;"Orriols";15;151;38;3,65;3,84;4,21;3,9;4,33;3,73;3,61;3,37;3,27
67;"Torrefiel";15;152;38;2,9;3,15;3,32;3,08;3,3;3,2;3,2;3,05;2,93
68;"Sant Llorenç";15;153;38;2,32;2,32;2,44;2,28;2,4;2,27;2,46;2,35;2,38
69;"Benicalap";16;161;38;2,81;2,89;2,99;2,91;3,23;3,28;3,28;3,14;3,27
70;"Ciutat Fallera";16;162;38;3,66;3,75;3,55;3,23;3,22;2,87;2,89;2,8;2,84
71;"Benifaraig";17;171;38;1,3;1,2;1,2;1,18;1,58;1,58;1,92;1,92;1,81
72;"Poble Nou";17;172;38;1,87;1,9;2,44;1,99;2,5;3,11;2,87;1,77;1,98
73;"Carpesa";17;173;38;1,14;0,98;0,89;0,74;1,17;0,93;1,01;0,93;1,43
74;"Cases de Bàrcena";17;174;38;2,78;4,4;4,94;4,79;4,06;5,22;3,67;4,48;3,31
75;"Mauella";17;175;38;5,77;5,77;6,38;6,38;6,25;4,44;4;1,72;1,75
76;"Massarrojos";17;176;38;4,86;5,2;5,9;5,54;6,26;5,17;4;3,29;2,92
77;"Borbotó";17;177;38;1,39;1,71;2,22;2,77;2,66;2,1;2,49;2,84;2,72
78;"Benimàmet";18;181;38;4,1;4,08;4,03;3,79;4,03;3,91;4,13;4,06;3,81
79;"Beniferri";18;182;38;3,45;4,49;4,54;4,21;4,58;3,5;3,02;2,86;3,33
80;"el Forn d'Alcedo";19;191;38;1,69;1,86;1,98;1,08;1,88;2,17;2,53;2,3;2,81
81;"el Castellar-l'Oliverar";19;192;38;4,18;4,65;4,96;4,07;4,25;4,06;4,2;4,24;4,05
82;"Pinedo";19;193;38;6,21;6,19;7,17;4,97;5,95;5,39;5,21;5,04;5,12
83;"el Saler";19;194;38;6,83;7,49;7,75;7,08;7,34;7,35;7,77;7,8;7,28
84;"el Palmar";19;195;38;3,98;4,13;4,03;3,82;4,02;3,05;3,39;3,64;3,41
85;"el Perellonet";19;196;38;2,99;2,64;2,87;3,13;2,96;3,27;3,98;3,95;4,3
86;"la Torre";19;197;38;3,75;4,09;4,76;4,48;4,59;3,7;3,56;3,49;3,34
87;"Faitanar";19;198;38;4,5;5,7;6,44;8,01;6,61;7,26;7,34;6,98;7,43
