"Any";"Indicador";"Barri";"Codi barri";"Valor"
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.1. la Seu";11;332
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.2. la Xerea";12;273
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.3. el Carme";13;548
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.4. el Pilar";14;360
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.5. el Mercat";15;324
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.6. Sant Francesc";16;408
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.1. Russafa";21;2059
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.2. el Pla del Remei";22;385
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.3. Gran Via";23;832
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.1. el Botànic";31;513
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.2. la Roqueta";32;478
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.3. la Petxina";33;925
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.4. Arrancapins";34;1549
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.1. Campanar";41;536
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.2. les Tendetes";42;277
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.3. el Calvari";43;289
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.4. Sant Pau";44;1044
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"5.1. Marxalenes";51;611
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"5.2. Morvedre";52;593
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"5.3. Trinitat";53;642
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"5.4. Tormos";54;436
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"5.5. Sant Antoni";55;459
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"6.1. Exposició";61;455
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"6.2. Mestalla";62;1206
2019;"Recompte subconjunt lloguer Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"6.3. Jaume Roig";63;413
