;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
23;2021;84,03;0,24;6561;0,2;0,2;90,67;2,06;7,36;61,68;138,79;22,9;19,09;125280;0;570,29;82142,94
23;2022;83,98;0,24;6562;0,2;0,2;90,67;2,07;7,38;61,64;138,74;;19,11;125401;0;570,23;82097,24
31;2018;38,96;20,47;3991;3,11;0,58;65,42;11,78;32,3;33,8;106,15;21,86;13,99;55854;21284;394,95;45051,65
31;2019;40,58;19,65;3995;2,03;0,15;66,41;11,76;32,29;33,74;106,05;19,77;12,93;51663;20835;406,81;46350,16
31;2020;41,71;18,56;3992;2,03;0,15;67,56;11,8;32,34;33,69;105,98;19,88;12,94;51661;20835;418,89;47702,17
31;2021;41,66;18,5;3994;1,33;0,15;69,18;11,79;32,32;33,7;105,99;21,55;14,03;56022;19754;418,71;47669,99
31;2022;41,73;18,6;4000;0,78;0,3;69,47;11,68;32,5;33,67;105,99;;13;52010;20835;419,19;47710,26
32;2018;42,53;7,21;3233;4,95;0,74;77,11;10,86;24,9;33;110,31;31,38;19,69;63642;103;447,35;51699,7
32;2019;43,85;7,02;3234;4,92;0,65;77,12;10,88;24,92;32,99;110,28;31,56;19,97;64570;103;460,74;53235,06
32;2020;45,36;6,65;3234;4,51;0;78,7;10,92;24,92;33,02;110,36;31,24;19,97;64570;103;475,04;54901,19
32;2021;45,39;6,65;3234;1,39;0;80,06;10,92;24,92;33,02;110,35;30,84;19,61;63434;103;475,07;54899,57
32;2022;45,52;6,66;3229;1,39;0;79,99;10,96;24,74;33,08;110,42;;19,65;63434;103;475,35;54957,74
33;2018;50,15;2,88;7928;2,09;0,19;68,77;3,92;16,8;42,58;115,72;17,65;14,08;111591;5814;442,93;52712,61
33;2019;51,9;2,62;7940;1,44;0,16;69,35;3,94;16,91;42,58;115,62;17,76;14,13;112212;5442;456,39;54266,29
33;2020;55,03;2,42;7945;1,49;0,21;70,17;3,98;16,93;42,59;115,6;17,68;14,11;112094;5541;470,14;55896,82
33;2021;55,04;2,42;7945;0,67;0,21;70,8;3,99;16,95;42,62;115,61;17,47;14,11;112094;5178;470,16;55899,88
33;2022;55,34;2,38;7973;0,97;0,69;70,7;3,94;16,79;42,96;115,92;;14,3;113995;3610;470,89;56141,54
34;2018;59,58;1,03;12447;1,09;0,22;64,1;3,48;14,69;46,08;120,73;24,74;20,09;250056;20904;484,68;60494,21
34;2019;62,45;0,85;12469;1,05;0,46;64,12;3,5;14,7;46,11;120,82;25,16;20,41;254441;17687;499,51;62386,59
34;2020;64,73;0,76;12469;1,08;0,57;64,13;3,58;14,77;46,07;120,76;25,45;20,44;254831;15144;514,79;64258,2
34;2021;64,73;0,76;12472;1,09;0,58;67,47;3,57;14,75;46,08;120,78;24,89;19,99;249265;29846;514,84;64269,36
34;2022;64,77;0,76;12496;0,87;0,66;67,66;3,56;14,72;46,21;120,86;;20,15;251832;29967;514,76;64303,45
41;2018;59,83;1,85;5730;1,03;0,05;7,85;3,4;10,03;36,37;117,38;35,1;37,98;217641;20507;439,89;51722,78
41;2019;62,19;1,68;5729;1,03;0,05;8,83;3,4;10,04;36,36;117,38;36,01;39,3;225170;20507;453,15;53281,52
41;2020;65,61;1,47;5729;1,03;0,03;14,05;3,4;10,02;36,04;117,36;36,55;39,28;225043;20801;466,93;54898,2
41;2021;65,62;1,5;5728;0,17;0,03;19,5;3,44;10,06;36,02;117,41;40,07;42,52;243568;20412;466,95;54927,2
41;2022;65,63;1,5;5729;0,12;0,03;20,93;3,44;10,05;36,01;117,43;;42,52;243601;20187;466,98;54944,26
42;2018;33,86;28,2;2723;0;0;29,53;1,4;37,83;26;100,81;17,73;14,88;40517;9543;355,78;38652,42
42;2019;34,81;20,35;2723;0;0;31,8;1,4;37,83;26;100,81;15,77;13,33;36311;9553;366,45;39811,99
42;2020;37,37;15,93;2724;0;0;31,83;1,4;37,85;25,99;100,74;15,81;13,33;36316;9553;377,59;40995,1
42;2021;37,37;15,93;2724;0;0;34,21;1,4;37,85;25,99;100,74;13,81;11,66;31749;9553;377,6;40994,64
42;2022;37,33;15,91;2727;0;0;47,08;1,39;37,88;25,96;100,7;;12,09;32983;9220;377,51;40971,46
43;2018;1,05;29,49;2669;0;0;65,01;18,28;52,79;8,28;83,97;8,78;5,9;15737;0;283,96;24373,4
43;2019;2,32;26,59;2670;0;0;71,99;18,28;52,81;8,28;83,96;8,73;5,89;15737;0;292,48;25102,34
43;2020;2,81;24,17;2673;0;0;75,53;18,26;52,86;8,27;83,94;8,49;5,89;15737;0;301,29;25849,87
43;2021;2,8;24,2;2674;0;0;79,69;18,25;52,88;8,26;83,93;8,47;5,89;15737;0;301,27;25845,81
43;2022;2,81;24,11;2671;0;0;82,37;18,23;52,86;8,24;83,93;;5,89;15737;306;301,52;25867,9
44;2018;73,79;0,57;7245;8,94;0;1,31;2,35;6,74;50,64;122,25;40,1;36,51;264524;258344;549,93;67698,29
44;2019;76,02;0,52;7245;2,54;0;1,31;2,35;6,74;50,64;122,25;40,46;38,27;277257;265789;566,44;69729,74
44;2020;77,05;0,52;7245;1,37;0;2,42;2,33;6,72;50,64;122,28;39,59;38,27;277257;265246;583,36;71822,35
44;2021;77,13;0,52;7272;0,37;0,37;4,58;2,32;6,7;50,8;122,39;39,15;38,21;277874;263619;583,69;71936,8
44;2022;77,77;0,5;7563;4,22;4,22;4,98;2,23;6,47;51,61;122,62;;37,56;284087;253773;580,95;71697,13
51;2018;12,94;9,29;5369;0;0;29,5;3,82;32,3;17,02;96,96;12,1;10,02;53774;16465;324,13;32389,5
51;2019;15,39;8,64;5368;0;0;31,33;3,82;32,3;17,01;96,9;12,14;10,17;54606;19897;333,88;33353,9
51;2020;17,14;7,43;5368;0;0;40,33;3,82;32,32;16,99;96,85;12,27;10,29;55250;18167;343,94;34342,63
51;2021;17,87;7,37;5416;0,89;0,89;47,88;3,79;32,2;17,71;97,47;12,37;10,33;55939;14376;344,67;34665,47
51;2022;18,01;7,33;5440;1,31;1,31;54,43;3,79;32,21;17,81;97,63;;10,45;56823;13780;344,95;34737,34
52;2018;19,71;14,19;5277;1,65;0,06;51,07;4,17;22,17;22,99;102,64;14,92;11;58069;18296;319,7;34095,13
52;2019;22,49;12,52;5319;2,01;0,9;51,66;4,29;22,11;23,28;102,68;14,87;11,15;59308;16089;330,53;35248,93
52;2020;24,36;10,59;5317;1,99;1,05;53,24;4,23;22,08;23,4;102,72;15,29;11,17;59369;17992;341,12;36388,68
52;2021;24,36;10,59;5317;1,92;1,05;57,23;4,27;22,12;23,26;102,69;15,16;11,17;59369;18140;341,19;36387,85
52;2022;24,36;10,56;5321;1,07;1,03;59,14;4,27;22,1;23,27;102,69;;11,16;59369;16995;341,32;36398,91
53;2018;16,47;7,96;4536;0,49;0;51,63;5,36;32,47;15,17;95,94;19,24;13,46;61045;15151;371,15;36863,24
53;2019;17,06;7,16;4536;0,31;0;51,63;5,36;32,47;15,17;95,94;19,35;13,46;61045;14939;382,28;37969,14
53;2020;18,01;6,37;4536;0,31;0;54,81;5,36;32,47;15,17;95,94;19,81;13,46;61045;14939;393,75;39108,32
53;2021;18,26;6,35;4550;0,62;0,31;57,87;5,34;32,37;15,43;96,04;19,93;13,45;61203;14617;394,16;39199,25
53;2022;18,3;6,35;4552;0,31;0,31;57,84;5,34;32,38;15,47;96,06;;13,44;61161;14615;394,26;39214,8
54;2018;17,86;28,89;4133;0,68;0,02;43,79;4,28;30,9;11,9;93,61;13,47;11,45;47324;7844;318,14;31313,91
