;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
92;2020;17,94;8,04;7615;0;0;27,98;1,52;16,13;18,57;102,66;10,83;10,48;79827;28148;354,06;37391,14
92;2021;17,94;8,04;7615;0;0;31,08;1,52;16,13;18,57;102,66;10,77;10,48;79827;28148;354,06;37391,14
92;2022;17,92;8,04;7616;0;0;35,64;1,52;16,12;18,57;102,64;;10,41;79266;28148;354,06;37383,79
93;2018;15,53;23,73;2866;1,01;0;30,11;1,85;26,06;23,27;104,34;18,57;18,48;52970;36720;307,67;33380,4
93;2019;15,63;23,27;2866;1,01;0;30,11;1,85;26,06;23,27;104,34;18,65;18,54;53145;36799;316,9;34381,81
93;2020;17,27;22,39;2867;0;0;30,97;1,88;26,09;23,26;104,42;18,67;18,54;53145;96519;326,14;35396,89
93;2021;17,28;22,35;2864;0;0;30,94;1,85;26,05;23,25;104,43;18,68;18,56;53145;97450;326,42;35425,12
93;2022;17,28;22,35;2864;0;0;34,85;1,85;26,05;23,25;104,41;;18,56;53145;97611;326,3;35412,87
95;2018;21,38;5,65;1876;0,8;0;13,33;0,32;15,57;27,08;105,78;20,33;18,12;33993;216702;339,19;36146,53
95;2019;22,17;5,28;1876;0,8;0;13,33;0,32;15,57;27,08;105,76;20,05;18,14;34022;197272;349,34;37217,84
95;2020;22,23;4,21;1876;0;0;13,65;0,32;15,57;27,08;105,76;19,84;18,14;34022;197272;359,82;38334,37
95;2021;22,23;4,21;1876;0;0;15,14;0,32;15,57;27,08;105,76;19,55;18,14;34022;151041;359,82;38334,37
95;2022;22,23;4,21;1876;0;0;18,55;0,32;15,57;27,08;105,76;;18,14;34022;150376;359,72;38317,06
101;2018;20,72;10,27;9717;0,49;0;48,72;3,58;22,31;24,15;102,85;11,55;9,14;88809;5913;338,47;35966,46
101;2019;22,79;8,95;9719;0,03;0;55,28;3,59;22,33;24,14;102,83;11,71;9,26;89958;5913;348,55;37027,01
101;2020;24,62;7,94;9723;0,03;0;58,41;3,6;22,34;24,14;102,83;11,74;9,26;90000;6110;358,98;38132,35
101;2021;24,62;7,91;9720;0,01;0;65,21;3,55;22,33;24,14;102,84;11,75;9,26;90000;6286;359,09;38144,86
101;2022;24,65;7,9;9730;0,01;0;67,36;3,55;22,3;24,16;102,88;;9,26;90106;6286;359,12;38159,35
102;2018;20,27;13,7;5969;1,89;0,65;42,94;2,66;28,65;16,95;98,38;11,66;9,03;53903;15688;336,91;34212,88
102;2019;22,16;11,99;5971;1,37;0,64;50,06;2,66;28,64;16,97;98,38;11,65;9,04;53996;16306;347;35239,8
102;2020;24,24;10,88;5995;1,15;1;51,93;2,65;28,54;17,26;98,5;11,62;9,01;54022;16082;358,12;36428,13
102;2021;24,25;10,8;5991;1,08;0,98;58,47;2,6;28,49;17,28;98,52;11,87;9,27;55520;15554;358,29;36448,28
102;2022;24,37;10,76;6024;1,48;1,16;62,33;2,61;28,42;17,43;98,63;;9,25;55733;15195;358,64;36509,59
103;2018;26,55;1,94;9870;1,7;0,02;2,93;0,71;9;21,01;107,55;14,84;15,82;156149;799195;372,04;40119,73
103;2019;30,06;1,73;9824;1,71;0,01;4,25;0,7;9,02;20,77;106,94;14,73;15,92;156423;586900;382,89;41220,33
103;2020;33,44;1,57;9829;1,72;0,02;6,55;0,7;9,01;20,82;107,01;14,69;15,94;156705;579872;394,41;42495,64
103;2021;33,93;1,53;10038;3,75;2,07;10,45;0,7;8,84;22,1;108,23;17,27;18,32;183860;731115;393,89;42841,55
103;2022;34,78;1,49;10386;5,95;5,34;16,48;0,68;8,56;24,03;109,19;;18,29;190008;724329;392,67;43032,45
104;2018;8,76;11,3;1416;3,11;2,97;19,84;0,92;18,71;15,96;103,82;6,39;6,17;8735;51941;276,76;28822,04
104;2019;9,96;9,53;1416;3,11;0,42;28,81;0,92;18,71;15,96;103,82;7,8;7,74;10956;51941;285,05;29686,69
104;2020;10,24;8,4;1416;3,04;0,07;38,98;0,92;18,71;15,96;103,82;7,68;7,74;10956;52109;293,61;30577,29
104;2021;10,26;8,42;1413;2,97;0,07;50,11;0,92;18,75;15,85;103,68;7,6;7,75;10956;52681;293,9;30587,28
104;2022;13,2;8,34;1462;6,16;3,28;57,46;0,89;18,13;18,54;108,01;;8,19;11980;48711;297,35;32745,3
105;2018;4,44;8,45;3266;0;0;10,2;0,28;9,37;6,15;96,9;4,03;4,28;13992;19396;327,34;32045,25
105;2019;5,36;8,08;3266;0;0;10,2;0,28;9,37;6,15;96,9;4,37;4,69;15306;19396;337,16;33006,61
105;2020;5,82;7,1;3266;0;0;10,2;0,28;9,37;6,15;96,9;4,4;4,69;15306;19396;347,28;33996,8
105;2021;5,82;7,1;3266;0;0;10,2;0,28;9,37;6,15;96,9;4,36;4,69;15306;44233;347,28;33996,8
105;2022;5,82;7,1;3266;0;0;10,2;0,28;9,37;6,15;96,9;;4,69;15306;44233;347,28;33996,81
106;2018;39,65;17,48;1579;29,83;0,7;41,55;4,37;19,19;57;153,97;30,19;24,4;38526;521622;335,58;46702,72
106;2019;41,04;16,97;1579;28,88;0,7;41,67;4,37;19,19;57;153,99;23,68;20,17;31843;519534;345,42;48000,16
106;2020;44,25;15,65;1636;19,74;3,73;40,1;4,1;18,22;56,72;153,23;23,92;19,86;32488;517220;369,19;50892,55
106;2021;44,17;15,64;1637;13,74;3,73;44,17;4,09;18,2;56,63;152,9;23,24;19,85;32488;514285;369,36;50859,97
106;2022;47,58;14,55;1759;18,76;10,35;45,14;4,09;17,34;55,14;150,43;;20,99;36924;493151;386,46;52331,81
107;2018;70,56;0;3682;13,42;2,34;0;5,89;15,64;48,89;118,13;60,55;44,43;163609;113178;504,39;59934,27
107;2019;74,08;0;3792;14,24;2,9;0;5,78;15,51;49,45;118,48;54;40,93;155206;98703;521,96;62217,45
107;2020;76,05;0;3791;12,48;2,9;0;5,78;15,4;49,43;118,5;53,26;40,94;155206;88903;537,39;64073,16
107;2021;76,04;0;3789;10,08;2,9;0;5,78;15,41;49,41;118,49;51,6;41,32;156555;89753;537,39;64066,94
107;2022;77,11;0;3966;9,86;7,24;0;5,52;14,73;50,88;119,5;;39,84;158019;84284;540,5;65009,48
111;2018;23,41;11,93;4643;1,92;0;34,03;4,78;23,99;21,11;102,3;14,31;12,59;58456;206320;345,68;36110,63
111;2019;25,48;10,69;4650;1,1;0,17;34,58;4,95;24,13;21,08;102,18;13,8;12,16;56522;205156;356,37;37186,23
111;2020;27,81;9,66;4650;0,77;0,17;36,43;4,95;24,15;21,1;102,17;13,84;12,16;56522;301085;367,08;38301,79
111;2021;27,93;8,89;4600;0,37;0,17;41,17;4,83;23,54;21,22;102,41;14,07;12,62;58070;240108;368,59;38506,96
111;2022;28,92;8,63;4738;3,31;2,95;40,14;4,73;23,41;21,61;102,66;;12,57;59545;236139;372,58;39037,29
112;2018;10,59;42,29;11655;1,51;0,09;66,3;14,47;43,05;15,74;93,98;7,21;4,73;55145;81052;258,92;25564,94
112;2019;11,32;39,64;11660;0,95;0,15;67,74;14,51;43,05;15,72;93,89;7,34;4,81;56136;82860;267;26361,18
112;2020;11,89;37,84;11641;0,82;0,32;68,39;14,49;43,05;15,67;93,89;7,35;4,81;56040;85558;275,51;27230,08
112;2021;11,96;37,76;11639;0,75;0,35;72,3;14,46;42,98;15,71;93,97;7,18;4,82;56086;85711;275,78;27286,89
112;2022;12,02;37,73;11677;0,67;0,54;74,31;14,59;43,14;15,63;93,8;;4,82;56237;82137;276,49;27300,56
113;2018;8,77;29,2;6784;1,67;0;30,85;3,04;35,97;12,04;96,47;7,11;6,01;40764;64081;290,36;29850,04
113;2019;9,98;28,32;6786;0,65;0;33,07;3,04;35,96;12,04;96,48;7,35;6,24;42368;64023;299,07;30745,95
113;2020;10,98;27,39;6787;0,49;0,01;34,9;3,04;35,97;12,04;96,49;7,37;6,24;42368;64029;308,09;31686,57
113;2021;10,98;27,39;6787;0,03;0,01;39,41;3,04;35,97;12,04;96,49;7,34;6,24;42368;59255;308,11;31687,53
113;2022;11,72;27,14;6849;0,88;0,88;41,29;3,02;35,68;12,78;97,05;;6,28;43025;56643;309,16;32009,12
114;2018;35,07;17,55;3807;3,15;0;20,59;2,6;20,65;24,19;102,81;11,29;10,03;38178;10758;358,01;38221,49
114;2019;39,45;17,35;3805;2,13;0;22;2,58;20,6;24,2;102,83;10,71;10,03;38178;10899;368,89;39385,55
114;2020;41,85;15,07;3802;1,55;0;21,99;2,55;20,54;24,22;102,87;10,86;10,04;38178;11041;379,92;40580,41
114;2021;41,85;15,07;3802;0,03;0;25,33;2,55;20,54;24,22;102,87;11,32;10,04;38178;11041;379,92;40580,41
114;2022;41,84;15,07;3803;0,03;0;27,24;2,55;20,54;24,22;102,87;;10,04;38178;11041;379,92;40578,98
115;2018;6,32;33,97;2976;2,08;0,2;46,74;10,72;36,46;13,31;96,45;2,7;2,35;6999;80488;254,72;25044,89
115;2019;7,5;31,87;2975;1,82;0,17;49,95;10,76;36,5;13,31;96,43;2,71;2,35;7003;196420;262,34;25789,01
115;2020;8,51;29,7;2973;0,71;0,17;52,51;10,76;36,46;13,35;96,48;2,63;2,35;6989;196857;270,33;26586,91
115;2021;8,52;29,68;2968;0,61;0,1;63,44;10,75;36,46;13,27;96,45;2,61;2,35;6989;197851;270,5;26603,73
115;2022;8,52;29,63;2970;0,47;0,07;69,26;10,81;36,5;13,27;96,42;;2,35;6989;197895;270,63;26605,47
121;2018;19,03;13,89;11791;1,09;0,02;40,35;3,46;28,05;13,93;97,07;12,6;10,49;123653;14254;338,59;33962,21
121;2019;21,17;12,02;11793;0,62;0;43,48;3,47;28,06;13,92;97,06;12,5;10,49;123713;14254;348,75;34976,9
121;2020;23,52;9,97;11797;0,45;0;44,27;3,49;28,08;13,86;97,04;12,45;10,49;123713;14254;359,19;36017,88
121;2021;23,83;10,01;11844;0,35;0,34;46,7;3,52;28,01;14,05;97,18;12,38;10,47;123984;17137;359,59;36120,03
121;2022;23,84;9,99;11845;0,35;0,34;48,38;3,54;28;14,06;97,21;;10,47;123984;18237;359,63;36135,21
122;2018;23,96;8,18;4558;0,22;0,02;31,68;3,8;21,33;31,83;105,63;23,01;18,02;82136;3731;360,43;39078,29
122;2019;26,11;7,15;4558;0,22;0,02;32,82;3,8;21,37;30,43;105,45;22,75;18,18;82842;3731;371,78;40247,14
122;2020;33,02;6,29;4579;0,66;0,44;35,2;3,78;21,27;30,55;105,51;22,61;18,17;83218;2973;383,28;41514,17
122;2021;33,02;6,29;4579;0,46;0,44;41,1;3,78;21,27;30,55;105,52;22,7;18,29;83769;2973;383,28;41516,8
122;2022;32,99;6,31;4583;0,46;0,44;43,05;3,84;21,32;30,53;105,48;;18,28;83769;3433;383,3;41501,51
123;2018;17,67;8,74;7115;2,04;0;36,96;2,99;32,64;11,47;94,16;16,13;12,88;91631;54489;345,45;33389,59
123;2019;19,12;7,21;7112;0,65;0;40,65;3,02;32,61;11,47;94,15;15,98;12,93;91969;54658;355,94;34402,3
123;2020;21,58;5,76;7113;0,65;0;43,6;3,02;32,6;11,47;94,14;15,96;12,86;91472;54693;366,61;35429,95
123;2021;21,59;5,71;7110;0;0;48,05;3,04;32,56;11,48;94,15;15,81;12,87;91472;55043;366,73;35442,68
123;2022;21,56;5,72;7120;0,14;0,14;49,42;3,2;32,67;11,46;94,08;;12,85;91472;54075;367;35431,3
124;2018;31,82;22,28;2294;0,04;0;47,17;4,27;31,12;24,24;101,56;10,22;10,36;23776;20591;369,88;39821,14
124;2019;35,05;19,35;2294;0,04;0;47,6;4,27;31,12;24,24;101,56;10,94;10,37;23797;20591;380,97;41015,77
124;2020;38,26;16,75;2292;0,04;0;48,43;4,28;31,15;24,3;101,62;10,6;10,38;23797;20717;392,53;42281,8
124;2021;38,4;16,46;2284;0;0;50,35;4,29;30,91;24,43;101,7;10,44;10,42;23797;20717;393,24;42397,15
124;2022;38,38;16,46;2285;0,04;0,04;54,31;4,29;30,94;24,42;101,68;;10,41;23797;20499;393,41;42406,91
125;2018;93,15;0,22;5899;3,15;0,83;4,24;1,95;6,02;71;134,85;73,16;58,23;343474;117229;667,68;90641,57
125;2019;93,42;0,22;5899;2,19;0,83;4,24;1,95;6,02;70,98;134,84;71,4;58,17;343147;117227;687,74;93360,56
125;2020;93,81;0,22;5932;2,04;0,56;4,21;1,94;5,98;71,14;135,07;71,02;58,18;345099;114738;708,35;96314,54
125;2021;93,95;0,21;6071;3,66;2,85;4,12;1,89;5,85;71,44;135,38;69,12;57,08;346553;111516;711,46;97002,12
125;2022;93,98;0,21;6095;4,02;3,22;4,1;1,89;5,82;71,55;135,73;;56,94;347074;111516;710,84;97107,59
131;2018;18,1;4,29;4193;0;0;24,16;2,29;12,04;15,24;102,01;12,52;11,34;47535;0;337,71;35225,52
131;2019;19,53;3,94;4193;0;0;24,16;2,29;12,04;15,26;102,01;10,53;9,49;39810;0;347,84;36284,94
131;2020;22,72;3,62;4194;0;0;25,82;2,29;12,04;15,26;101,99;10,56;9,49;39810;0;358,25;37365,09
131;2021;22,72;3,62;4194;0;0;27,21;2,29;12,04;15,26;101,99;10,68;9,49;39810;0;358,25;37365,09
131;2022;22,72;3,62;4195;0;0;34,16;2,29;12,04;15,26;101,99;;9,49;39810;0;358,25;37362,88
132;2018;39,52;0,23;7090;0;0;4,08;3,03;9,13;28,15;109,29;14,22;11,78;83497;14937;419,05;46084,71
132;2019;43,2;0,23;7090;0;0;4,41;3,03;9,13;28,05;109,29;14,01;11,57;82002;14937;431,63;47467,63
132;2020;46,7;0,23;7090;0;0;5,09;3,03;9,13;28,05;109,29;14,13;11,57;82002;15530;444,58;48891,66
132;2021;46,7;0,23;7090;0;0;8,19;3,03;9,13;27,87;109,28;14,28;11,57;82002;15602;444,62;48891,85
132;2022;46,7;0,23;7090;0;0;9,9;3,03;9,13;27,87;109,28;;11,57;82002;15602;444,62;48891,85
133;2018;29,33;7,63;4013;0;0;40,62;4,98;30,35;20,28;99,4;11,4;8,43;33846;199;364,6;37535,13
133;2019;31,41;6,1;4015;0;0;41,15;4,98;30,34;20,27;99,4;11,05;8,11;32546;199;375,55;38661,44
133;2020;32,92;5,05;4019;0;0;45,53;4,98;30,33;20,25;99,38;11,16;8,1;32546;199;386,78;39809,74
133;2021;32,92;5,05;4019;0;0;47,95;5;30,36;20,25;99,36;11,06;8,1;32546;199;386,82;39805,74
133;2022;32,92;5,05;4019;0;0;49,84;5;30,36;20,25;99,36;;8,1;32546;199;386,82;39805,74
134;2018;63,07;0,03;3247;0;0;17,31;2,4;6,99;48,6;122,37;22,27;18,84;61187;1121;459,08;56147,64
134;2019;67,72;0,03;3247;0;0;17,31;2,4;6,99;48,6;122,36;22,6;18,84;61187;1121;472,86;57832,15
134;2020;69,85;0,03;3247;0;0;20,79;2,4;6,99;48,6;122,36;22,65;18,84;61187;1121;487,07;59567,03
134;2021;69,85;0,03;3247;0;0;27,72;2,4;6,99;48,6;122,36;22,54;18,84;61187;1121;487,07;59567,03
134;2022;69,86;0,03;3248;0;0;28,88;2,4;6,99;48,61;122,38;;18,84;61187;1121;487,04;59572,01
135;2018;67,3;0,79;1896;0;0;2,37;5,75;9,92;43,51;124,18;57,91;56,17;106491;121989;451,27;55200,39
135;2019;70,36;0,79;1896;0;0;2,37;5,75;9,92;43,51;124,18;72,09;64,14;121618;120727;464,81;56857,96
135;2020;71,5;0,74;1895;0;0;2,32;5,75;9,92;43,48;124,11;71,89;62,74;118900;120727;478,95;58580,93
135;2021;71,52;0,74;1896;0;0;2,37;5,75;9,92;43,51;124,33;70,82;62,71;118900;120727;478,87;58644,94
135;2022;71,52;0,74;1896;0;0;2,37;5,75;9,92;43,51;124,35;;62,48;118459;120925;478,94;58664,28
141;2018;30,74;12,1;12872;1,35;0,08;30,48;2,96;24,67;20,07;103,92;15,73;12,33;158718;4365;377,46;41072,19
141;2019;32,61;11,12;12878;1,08;0,07;33,63;3,02;24,66;20,06;103,93;15,82;12,56;161734;4365;388,87;42317,32
141;2020;34,8;10,28;12879;0,73;0,08;36,47;3,02;24,66;20,06;103,92;16,14;12,54;161473;4365;400,6;43587,12
141;2021;34,9;10,25;12892;0,67;0,2;40,92;3,03;24,61;20,17;104,03;15,62;12,54;161700;4394;400,86;43668,26
141;2022;34,91;10,24;12903;0,5;0,19;43,07;3,02;24,64;20,19;104,01;;12,54;161747;4648;400,95;43673,55
142;2018;39,73;0,48;2487;0;0;1,25;1,01;2,09;30,88;121,04;18,4;18,57;46175;177161;405,58;48419,99
142;2019;45,48;0,48;2487;0;0;1,25;1,01;2,09;30,88;121,04;18,43;18,57;46175;172699;417,77;49872,58
142;2020;50,26;0,48;2487;0;0;1,25;1,01;2,09;30,88;121,04;18,15;18,57;46175;172719;430,35;51384,69
142;2021;50,14;0,6;2493;0;0;1,52;1;2,13;30,97;121,14;18,2;18,52;46175;172719;429,7;51322,26
142;2022;50,14;0,6;2493;0;0;1,52;1;2,13;30,97;121,14;;18,52;46175;172723;429,7;51322,26
151;2018;7,65;33,65;7638;1,61;0,01;53,97;11,69;51,61;8,24;86,54;7,32;5,74;43811;15792;289,56;26015,61
151;2019;8,49;30,84;7637;0,59;0;54,18;11,82;51,62;8,25;86,55;7,15;5,74;43856;15792;298,27;26799,59
151;2020;10,38;29,03;7638;0,55;0;58,54;11,84;51,62;8,25;86,53;7,14;5,74;43856;15821;307,22;27600,26
151;2021;10,39;29,03;7640;0,39;0;64,93;11,85;51,62;8,26;86,52;7,12;5,74;43856;16177;307,25;27595,32
151;2022;10,39;29,06;7640;0,01;0;69,96;11,86;51,65;8,22;86,44;;5,74;43856;17272;307,26;27593,42
152;2018;13,54;15,01;11629;4,74;0,64;28,44;4,64;26,61;16,35;97,98;10,3;9,36;108860;65661;307,97;31011,82
152;2019;15,29;13,72;11629;2,4;0,64;30,92;4,64;26,61;16,35;97,98;10,19;9,35;108720;65656;317,19;31938,07
152;2020;16,7;12,21;11628;1,01;0,65;35,32;4,66;26,65;16,33;97,94;10,03;9,28;107959;65836;326,69;32880,64
152;2021;16,69;12,21;11639;0,93;0,1;38,55;4,68;26,65;16,32;97,93;9,94;9,28;108068;65443;326,79;32885,34
152;2022;16,68;12,22;11635;0,86;0,1;42,2;4,68;26,66;16,3;97,93;;9,29;108118;65832;326,76;32883,09
153;2018;71,85;0,04;4646;1,7;0;0,58;2,78;9,1;50,28;122,86;43,61;38,59;179271;94054;508,25;62944,03
153;2019;75,33;0,04;4681;0,77;0,77;0,58;2,76;9,08;50,07;122,74;39,11;35,32;165356;92471;523,77;64808,85
153;2020;78,44;0,04;4681;0,77;0,77;0,58;2,76;9,08;50,27;122,92;38;35,32;165356;92469;538,97;66754,56
153;2021;78,43;0,04;4682;0,77;0,77;1,11;2,76;9,08;50,28;122,95;37,55;35,32;165356;92113;538,87;66745,56
153;2022;78,98;0,04;4806;3,33;3,33;2,08;2,68;8,84;49;122,65;;34,7;166759;89633;541;66802,46
161;2018;28,85;12,55;18781;9,81;0,31;21,47;4,27;23,18;22,23;102,63;16,62;14,6;274219;282995;368,56;39160,77
161;2019;30,42;11,72;18779;6,95;0,31;23,37;4,27;23,24;22,23;102,63;16,2;14,54;272999;268471;379,63;40336,39
161;2020;32,33;10,76;18843;4;0,34;24,82;4,27;23,18;22,4;102,75;16,13;14,68;276641;263419;391,17;41609,69
161;2021;32,72;10,7;18968;3,2;0,99;28,08;4,26;23,07;22,85;103,29;15,98;14,69;278558;257383;391,54;41874,92
161;2022;33,69;10,54;19266;3,5;2,5;31,17;4,2;22,72;23,86;103,87;;14,71;283364;246471;393,46;42358,43
162;2018;9,69;12,59;2590;0;0;13,9;0,27;51,24;8,49;88,68;5,68;5,43;14076;25869;297,46;27118,72
162;2019;9,69;10,11;2591;0;0;18,06;0,27;51,25;8,49;88,67;5,6;5,44;14103;25209;306,37;27928,82
162;2020;10,15;9,92;2592;0;0;43,52;0,27;51,27;8,49;88,65;5,49;5,44;14103;25209;315,54;28760,59
162;2021;10,14;9,95;2593;0;0;57,77;0,27;51,29;8,48;88,65;5,48;5,44;14103;25209;315,5;28756,15
162;2022;10,13;12,29;2595;0;0;57,8;0,27;51,33;8,48;88,61;;5,43;14103;25209;314,6;28683,06
171;2018;39,55;4,14;531;4,33;0,56;32,02;0,56;4,14;72,13;173,9;10,56;11,38;6042;16340;280,76;46046,94
171;2019;41,71;4;525;4,19;0,38;32,57;0,38;3,81;72,57;174,02;10,28;11,51;6042;15885;290,35;47705,41
171;2020;44,68;3,61;526;1,33;0,19;32,7;0,38;3,8;72,43;174,16;10,19;11,49;6042;11616;299,01;49172,04
171;2021;44,42;3,59;529;1,32;0;40,83;0,38;3,97;72,02;173,73;10,17;11,42;6042;15507;299,1;49066,26
171;2022;44,8;3,59;529;0,95;0;41,02;0,38;3,97;72,02;173,85;;11,94;6317;15496;299,07;49097,93
172;2018;20,37;24,9;486;0,82;0,21;44,03;1,65;34,16;41,36;175,51;7,26;7,26;3529;56323;223,88;34890,69
172;2019;20,25;13,02;484;0,62;0,21;44,63;1,24;33,88;41,32;175,12;7,05;7,18;3475;56666;229,76;35657,75
172;2020;21,78;9,34;482;0,62;0;44,4;1,24;34,02;41,08;174,15;6,95;7,15;3447;56666;237,33;36742,51
172;2021;21,77;9,65;487;0,62;0;76,59;1,64;34,09;41,27;174,22;6,99;7,08;3447;56666;237,45;36669,04
172;2022;21,97;9,65;487;0,41;0,21;77;1,64;34,09;41,27;174,2;;7,16;3485;55578;238,43;36942,32
173;2018;25,77;17,87;582;2,06;0,17;43,99;1,37;7,9;48,63;173,19;6,18;7,18;4177;28816;236,89;40851,12
173;2019;26,63;17,18;582;1,37;0;43,99;1,37;8,59;48,63;173,16;6,04;7,18;4177;28816;243,62;41916,22
173;2020;27,63;16,41;579;1,04;0;44,04;1,38;8,64;48,36;173,05;6,11;7,21;4177;28816;250,53;43066
173;2021;27,84;16,32;582;1,03;0,17;55,33;1,37;8,59;48,63;174,03;6,12;7,32;4263;28672;250,89;43355,87
173;2022;27,96;16,3;583;0,69;0,34;55,57;1,37;8,58;48,71;174,26;;7,45;4341;28672;251,18;43503,15
174;2018;11,76;39,5;238;2,52;0;56,72;1,26;26,47;33,19;150,61;10,43;6,26;1491;18587;185,21;26707,36
174;2019;12,29;37,71;236;1,27;0;57,2;1,27;26,69;33,47;151,01;9,09;5,66;1336;18587;189,29;27300,29
174;2020;11,91;36,17;235;1,28;0;57,45;1,28;26,81;33,19;150,03;8,24;6,34;1491;18587;193,97;27544,49
174;2021;11,39;35,86;237;1,69;0;83,12;1,27;26,58;32,91;149,64;7,97;6,29;1491;18587;194,57;27393,83
174;2022;11,39;35,86;237;0,84;0;83,12;1,27;26,58;32,91;149,64;;6,29;1491;18587;194,57;27393,83
175;2018;9,21;36,84;76;2,63;0;88,16;1,32;5,26;81,58;182,68;12,06;2,54;193;402;146,25;24926,75
175;2019;9,72;37,5;72;0;0;91,67;1,39;4,17;86,11;187,79;12,06;2,68;193;402;144,3;25786,7
175;2020;9,59;30,14;73;0;0;90,41;1,37;4,11;84,93;186,53;11,35;2,64;193;466;152,27;26739,25
175;2021;10;28,57;70;0;0;87,14;1,43;4,29;82,86;184,34;10,72;2,76;193;466;154,9;26499,68
175;2022;11,27;28,17;71;1,41;1,41;85,92;1,41;4,23;83,1;184,65;;2,72;193;402;157,25;27061,77
176;2018;52,13;7,75;1182;9,03;5,79;22,66;0,43;3,41;72,66;197,48;50,02;42,49;50219;136758;334,28;70895,69
176;2019;55,97;7,08;1180;6,4;0,09;22,95;0,34;3,24;72,78;197,73;48,17;42,62;50290;136758;344,48;73117,33
176;2020;59,76;6,82;1181;6,39;0,17;23,1;0,34;3,24;72,8;197,79;46,98;42,48;50173;136947;355,05;75361,72
176;2021;59,86;6,89;1184;6,21;0,34;27,13;0,43;3,4;72,7;197,62;45;42,38;50173;137652;355,39;75391,05
176;2022;60,02;6,88;1186;6,45;0,68;26,91;0,42;3,31;72,84;197,64;;42,3;50173;136526;355,68;75592,53
177;2018;25,5;10,64;404;4,7;0,5;41,58;0,99;7,18;61,88;181,63;6,34;6,34;2563;23114;239,17;40852,28
177;2019;28;10;400;4,25;0,5;43;0,75;7;62,5;182,62;6,25;6,25;2500;23114;245,68;42249,74
177;2020;30,25;9,75;400;3,5;0,25;43;0,75;7;62,5;182,6;6,3;6,41;2563;23114;253,12;43522,93
177;2021;29,95;9,65;404;0,74;0,25;48,27;0,99;7,18;61,88;181,62;6,3;6,34;2563;23114;253,8;43345,82
177;2022;29,95;9,65;404;0,74;0;48,51;0,99;7,18;62,13;181,72;;7,28;2941;23114;253,73;43358,65
181;2018;14,79;24,44;6517;4,48;0,12;29,37;5,11;24,34;29,29;114,58;30,52;27,61;179932;184659;281,08;33290,14
181;2019;16,33;23,25;6517;3,35;0,09;30,32;5,11;24,32;29,32;114,65;30,31;27,88;181709;184748;289,69;34330,59
181;2020;18,74;21,53;6520;2,48;0,09;32,25;5,11;24,31;29,31;114,62;29,85;27,77;181078;185487;298,45;35362,43
181;2021;18,73;21,55;6520;0,92;0,05;36,44;5,11;24,33;29,29;114,6;29,19;27,77;181078;186978;298,49;35361,31
181;2022;18,73;21,54;6524;0,32;0,08;40,44;5,12;24,31;29,32;114,59;;27,9;182000;187576;298,53;35369,19
182;2018;61,42;1,97;508;20,87;0,2;7,28;1,18;1,97;62,6;177,88;72,55;78,97;40118;54602;361,07;63696,07
182;2019;62,01;1,97;508;20,87;0,2;7,28;1,18;1,97;62,6;177,88;69,65;78,97;40118;44245;371,9;65606,94
182;2020;64,96;1,97;508;20,87;0,2;7,28;1,18;1,97;62,6;177,88;67,65;78,97;40118;40516;383,07;67576,5
182;2021;64,96;1,97;508;1,38;0,2;7,28;1,18;1,97;62,6;177,88;68,11;78,97;40118;50791;383,07;67576,5
182;2022;64,96;1,97;508;0,2;0,2;7,28;1,18;1,97;62,6;177,9;;78,97;40118;50791;383,08;67586,68
191;2018;13,8;13,65;653;0;0;22,85;1,23;4,91;33,13;130,65;11,57;16,94;11065;102585;216,85;28236
191;2019;14,42;12,27;653;0;0;22,85;1,23;4,91;33,13;130,62;12,42;17,51;11437;102585;223,44;29083,09
191;2020;16,77;8;651;0;0;22,62;1,23;4,92;32,92;130,47;12,17;17,57;11437;102643;230,8;30020,78
191;2021;16,77;8;651;0;0;27,85;1,23;4,92;32,92;130,47;12,76;17,57;11437;102725;230,83;30024,43
191;2022;16,92;8;651;0;0;60,15;1,23;4,92;33,08;130,4;;17,73;11542;104414;230,45;29859,62
192;2018;20,39;11,28;3306;1,78;0,21;36,93;1,36;10,16;41,62;142,44;6,34;7,24;23922;110272;268;37852,64
192;2019;22,37;10,07;3308;0,88;0,18;37,58;1,39;10,19;41,63;142,26;6,4;7,28;24096;110215;276;38931,66
192;2020;25,02;8,34;3310;0,82;0,12;43,9;1,42;10,21;41,63;142,24;6,4;7,31;24198;110474;284,26;40097,44
192;2021;24,96;8,3;3313;0,72;0,06;49,77;1,42;10,23;41,62;142,2;6,41;7,32;24252;110334;284,25;40088,18
